date,open,high,low,close,volume,dividend,split
2010-07-28,13.22,13.31,13.15,13.22,1119,0,1
2010-07-29,13.21,13.43,13.21,13.40,590,0,1
2010-07-30,13.40,13.61,13.34,13.51,1199,0,1
2010-08-02,13.64,13.78,13.47,13.76,440,0,1
2010-08-03,13.73,13.81,13.59,13.59,799,0,1
2010-08-04,13.59,13.83,13.51,13.81,947,0,1
2010-08-05,13.68,13.84,13.66,13.76,1497,0,1
2010-08-06,13.69,13.82,13.58,13.63,1029,0,1
2010-08-09,13.63,13.80,13.63,13.74,472,0,1
2010-08-10,13.64,13.97,13.63,13.89,666,0,1
2010-08-11,13.88,13.97,13.74,13.94,861,0,1
2010-08-12,13.81,13.88,13.65,13.78,1228,0,1
2010-08-13,13.81,13.86,13.72,13.72,785,0,1
2010-08-16,13.68,13.98,13.68,13.91,751,0,1
2010-08-17,13.94,14.38,13.94,14.32,1994,0,1
2010-08-18,14.44,14.72,14.33,14.64,2009,0,1
2010-08-19,14.56,14.82,14.36,14.38,1175,0,1
2010-08-20,14.44,14.46,14.24,14.46,659,0,1
2010-08-23,14.44,14.56,14.31,14.31,352,0,1
2010-08-24,14.17,14.33,14.11,14.18,679,0,1
2010-08-25,14.16,14.37,14.13,14.37,651,0,1
2010-08-26,14.32,14.46,14.28,14.35,1255,0,1
2010-08-27,14.40,14.81,14.32,14.40,1463,0,1
2010-08-30,14.34,14.50,14.28,14.28,875,0,1
2010-08-31,14.27,14.44,14.00,14.00,1923,0,1
2010-09-01,14.06,14.37,14.02,14.35,1179,0,1
2010-09-02,14.35,14.57,14.09,14.13,1535,0,1
2010-09-03,14.13,14.32,14.05,14.16,862,0,1
2010-09-06,14.16,14.28,14.07,14.25,321,0,1
2010-09-08,14.34,14.34,13.44,13.54,3333,0,1
2010-09-09,13.61,13.80,13.49,13.71,1548,0,1
2010-09-10,13.67,13.96,13.64,13.71,678,0,1
2010-09-13,13.83,13.86,13.64,13.71,1102,0,1
2010-09-14,13.74,13.84,13.57,13.80,1917,0,1
2010-09-15,13.78,14.12,13.77,14.00,828,0,1
2010-09-16,14.13,14.13,13.73,13.73,652,0,1
2010-09-17,13.76,13.80,13.66,13.66,461,0,1
2010-09-20,13.66,13.94,13.66,13.86,611,0,1
2010-09-21,13.95,13.98,13.71,13.71,1050,0,1
2010-09-22,13.75,13.90,13.69,13.75,1301,0,1
2010-09-23,13.77,13.83,13.63,13.71,1143,0,1
2010-09-24,13.73,13.76,13.42,13.45,1006,0,1
2010-09-27,13.43,13.56,13.29,13.37,754,0,1
2010-09-28,13.50,13.57,13.30,13.53,2952,0,1
2010-09-29,13.56,13.60,13.35,13.35,1338,0,1
2010-09-30,13.40,13.54,13.36,13.37,632,0,1
2010-10-01,13.30,13.71,13.30,13.58,1086,0,1
2010-10-04,13.60,13.85,13.54,13.81,540,0,1
2010-10-05,13.87,14.12,13.86,13.99,1626,0,1
2010-10-06,14.02,14.08,13.94,13.99,1091,0,1
2010-10-07,13.93,14.03,13.80,13.86,1223,0,1
2010-10-08,13.78,13.88,13.69,13.81,1294,0,1
2010-10-11,13.74,13.93,13.73,13.85,584,0,1
2010-10-13,13.97,14.02,13.77,13.84,3025,0,1
2010-10-14,13.81,13.95,13.66,13.88,1225,0,1
2010-10-15,13.96,13.97,13.81,13.81,1073,0,1
2010-10-18,13.80,13.95,13.73,13.85,1384,0,1
2010-10-19,13.78,13.98,13.68,13.69,1847,0,1
2010-10-20,13.77,13.94,13.73,13.88,1316,0,1
2010-10-21,13.82,14.02,13.78,13.91,861,0,1
2010-10-22,14.07,14.07,13.78,13.80,406,0,1
2010-10-25,13.79,13.97,13.70,13.76,1241,0,1
2010-10-26,13.70,14.03,13.69,13.83,978,0,1
2010-10-27,13.84,14.10,13.78,14.08,670,0,1
2010-10-28,14.17,14.26,13.89,13.94,362,0,1
2010-10-29,14.04,14.04,13.78,13.78,732,0,1
2010-11-01,13.69,13.96,13.69,13.85,475,0,1
2010-11-03,13.85,13.90,13.68,13.73,1513,0,1
2010-11-04,13.81,13.91,13.69,13.80,805,0,1
2010-11-05,13.81,13.88,13.79,13.80,556,0,1
2010-11-08,13.84,14.02,13.68,13.97,531,0,1
2010-11-09,14.04,14.09,13.86,14.09,481,0,1
2010-11-10,13.99,14.31,13.98,14.28,932,0,1
2010-11-11,14.21,14.21,13.87,13.99,661,0,1
2010-11-12,13.88,13.99,13.88,13.88,304,0,1
2010-11-16,13.82,13.94,13.71,13.79,802,0,1
2010-11-17,13.71,13.94,13.71,13.94,511,0,1
2010-11-18,13.84,14.02,13.82,13.88,438,0,1
2010-11-19,13.94,13.99,13.79,13.93,478,0,1
2010-11-22,13.85,13.99,13.77,13.81,891,0,1
2010-11-23,13.77,13.95,13.71,13.78,541,0,1
2010-11-24,13.81,13.95,13.77,13.78,1714,0,1
2010-11-25,13.90,13.96,13.74,13.80,339,0,1
2010-11-26,13.80,13.87,13.69,13.69,425,0,1
2010-11-29,13.69,13.81,13.52,13.57,901,0,1
2010-11-30,13.57,13.86,13.44,13.71,1456,0,1
2010-12-01,13.83,14.00,13.79,13.95,933,0,1
2010-12-02,14.12,14.12,13.87,13.92,747,0,1
2010-12-03,13.96,14.21,13.84,14.21,790,0,1
2010-12-06,14.12,14.25,14.04,14.11,431,0,1
2010-12-07,14.21,14.21,13.94,13.94,381,0,1
2010-12-08,14.00,14.05,13.82,13.94,506,0,1
2010-12-09,13.87,13.96,13.83,13.96,480,0,1
2010-12-10,14.00,14.05,13.71,13.87,665,0,1
2010-12-13,13.88,13.92,13.85,13.90,223,0,1
2010-12-14,13.88,13.97,13.77,13.88,373,0,1
2010-12-15,13.79,13.97,13.79,13.95,588,0,1
2010-12-16,14.04,14.19,13.95,14.13,692,0,1
2010-12-17,14.02,14.22,13.92,14.16,525,0,1
2010-12-20,14.07,14.16,13.77,13.85,876,0,1
2010-12-21,13.80,14.08,13.80,14.02,509,0,1
2010-12-22,13.95,14.11,13.85,14.09,513,0,1
2010-12-23,14.04,14.14,13.94,14.11,414,0,1
2010-12-27,14.04,14.12,14.04,14.07,214,0,1
2010-12-28,14.12,14.14,14.06,14.10,214,0,1
2010-12-29,14.12,14.35,14.09,14.27,503,0,1
2010-12-30,14.33,14.54,14.23,14.23,888,0,1
2011-01-03,14.45,14.49,14.30,14.41,754,0,1
2011-01-04,14.40,14.53,14.33,14.45,502,0,1
2011-01-05,14.45,14.54,14.34,14.52,782,0,1
2011-01-06,14.51,14.67,14.51,14.53,908,0,1
2011-01-07,14.51,14.74,14.51,14.64,729,0,1
2011-01-10,14.64,14.76,14.42,14.51,648,0,1
2011-01-11,14.57,14.64,14.52,14.53,822,0,1
2011-01-12,14.54,14.78,14.54,14.66,759,0,1
2011-01-13,14.71,14.98,14.59,14.86,649,0,1
2011-01-14,14.84,15.01,14.74,14.91,704,0,1
2011-01-17,14.89,15.00,14.79,14.94,153,0,1
2011-01-18,14.90,14.91,14.72,14.75,276,0,1
2011-01-19,14.75,14.85,14.51,14.61,389,0,1
2011-01-20,14.58,14.76,14.51,14.60,526,0,1
2011-01-21,14.60,14.71,14.54,14.56,461,0,1
2011-01-24,14.56,14.81,14.51,14.68,325,0,1
2011-01-26,14.63,14.78,14.46,14.50,324,0,1
2011-01-27,14.45,14.60,14.28,14.33,1004,0,1
2011-01-28,14.35,14.38,14.01,14.19,1030,0,1
2011-01-31,14.33,14.33,14.09,14.17,431,0,1
2011-02-01,14.12,14.31,14.07,14.31,684,0,1
2011-02-02,14.25,14.27,14.07,14.07,728,0,1
2011-02-03,14.06,14.21,14.06,14.11,454,0,1
2011-02-04,14.01,14.15,13.88,13.88,689,0,1
2011-02-07,13.89,14.05,13.76,13.91,460,0,1
2011-02-08,13.85,13.98,13.79,13.98,512,0,1
2011-02-09,13.92,14.05,13.71,13.71,586,0,1
2011-02-10,13.71,13.90,13.62,13.75,511,0,1
2011-02-11,13.75,14.22,13.68,13.85,995,0,1
2011-02-14,13.92,13.99,13.76,13.76,742,0,1
2011-02-15,13.75,13.92,13.73,13.78,693,0,1
2011-02-16,13.85,14.33,13.76,14.14,818,0,1
2011-02-17,14.12,14.31,14.12,14.27,861,0,1
2011-02-18,14.29,14.40,14.23,14.37,689,0,1
2011-02-21,14.33,14.46,14.18,14.25,581,0,1
2011-02-22,14.25,14.52,14.14,14.40,993,0,1
2011-02-23,14.44,14.51,14.18,14.27,729,0,1
2011-02-24,14.27,14.61,14.27,14.52,925,0,1
2011-02-25,14.61,14.70,14.50,14.60,1038,0,1
2011-02-28,14.78,14.97,14.63,14.94,924,0,1
2011-03-01,14.94,14.94,14.79,14.85,669,0,1
2011-03-02,14.85,14.85,14.53,14.69,1063,0,1
2011-03-03,14.84,14.84,14.62,14.67,350,0,1
2011-03-04,14.67,15.01,14.65,14.95,932,0,1
2011-03-09,15.01,15.03,14.74,14.75,450,0,1
2011-03-10,14.72,15.05,14.70,14.90,832,0,1
2011-03-11,14.98,15.15,14.88,14.99,466,0,1
2011-03-14,15.01,15.39,14.89,15.21,964,0,1
2011-03-15,15.15,15.54,15.03,15.33,930,0,1
2011-03-16,15.33,15.33,14.76,14.85,865,0,1
2011-03-17,14.90,15.16,14.77,14.92,525,0,1
2011-03-18,15.03,15.13,14.85,14.85,1028,0,1
2011-03-21,15.05,15.24,15.03,15.24,600,0,1
2011-03-22,15.13,15.34,15.06,15.24,448,0,1
2011-03-23,15.16,15.47,15.16,15.40,471,0,1
2011-03-24,15.28,15.59,15.28,15.49,533,0,1
2011-03-25,15.54,15.62,15.44,15.61,413,0,1
2011-03-28,15.51,15.61,15.43,15.43,786,0,1
2011-03-29,15.47,15.58,15.28,15.51,805,0,1
2011-03-30,15.58,16.03,15.48,15.99,828,0,1
2011-03-31,15.99,16.18,15.74,16.02,793,0,1
2011-04-01,16.02,16.27,16.02,16.10,843,0,1
2011-04-04,16.23,16.46,16.19,16.33,535,0,1
2011-04-05,16.41,16.68,16.20,16.59,1049,0,1
2011-04-06,16.59,16.59,16.10,16.10,865,0,1
2011-04-07,16.10,16.16,15.92,15.96,558,0,1
2011-04-08,16.02,16.08,15.74,15.75,387,0,1
2011-04-11,15.72,15.95,15.61,15.61,548,0,1
2011-04-12,15.63,16.13,15.58,15.91,1473,0,1
2011-04-13,16.08,16.24,15.77,15.81,575,0,1
2011-04-14,15.78,16.18,15.78,15.93,448,0,1
2011-04-15,15.95,16.09,15.81,16.05,459,0,1
2011-04-18,16.05,16.68,16.05,16.65,1409,0,1
