date,open,high,low,close,volume,dividend,split
2010-10-13,7.74,8.21,7.74,8.09,12,0,1
2010-10-14,7.80,7.95,7.74,7.92,45,0,1
2010-10-15,7.91,8.09,7.86,7.92,13,0,1
2010-10-18,8.09,8.39,8.06,8.09,48,0,1
2010-10-19,8.33,8.33,8.12,8.27,11,0,1
2010-10-20,8.32,8.32,8.09,8.09,0,0,1
2010-10-21,8.15,8.39,8.09,8.30,63,0,1
2010-10-22,8.45,8.45,8.36,8.36,2,0,1
2010-10-25,8.33,8.33,8.33,8.33,4,0,1
2010-10-26,8.39,8.39,8.21,8.27,1,0,1
2010-10-27,8.36,8.36,8.23,8.23,3,0,1
2010-10-28,8.38,8.38,8.15,8.15,1,0,1
2010-10-29,8.01,8.07,7.65,7.65,5,0,1
2010-11-01,8.09,8.12,7.88,8.04,32,0,1
2010-11-03,7.80,8.26,7.80,8.26,55,0,1
2010-11-04,8.27,8.27,8.21,8.21,5,0,1
2010-11-05,8.39,8.39,8.30,8.33,9,0,1
2010-11-08,8.27,8.27,8.21,8.21,10,0,1
2010-11-09,8.21,8.21,8.18,8.21,2,0,1
2010-11-10,8.21,8.26,8.15,8.26,34,0,1
2010-11-11,8.27,8.67,8.27,8.58,5,0,1
2010-11-12,8.64,8.64,8.64,8.64,0,0,1
2010-11-16,8.63,8.66,8.63,8.66,10,0,1
2010-11-17,8.63,8.66,8.63,8.66,10,0,1
2010-11-18,8.63,8.66,8.63,8.66,10,0,1
2010-11-19,8.40,8.42,8.39,8.42,6,0,1
2010-11-22,8.48,8.48,8.39,8.45,248,0,1
2010-11-23,8.26,8.26,8.19,8.19,0,0,1
2010-11-24,8.42,8.42,8.27,8.41,10,0,1
2010-11-25,8.39,8.51,8.39,8.50,13,0,1
2010-11-26,8.45,8.48,8.41,8.42,42,0,1
2010-11-29,8.39,8.44,8.22,8.39,190,0,1
2010-11-30,8.28,8.42,8.24,8.39,14,0,1
2010-12-01,8.39,8.66,8.39,8.39,120,0,1
2010-12-02,8.39,8.57,8.39,8.57,2,0,1
2010-12-03,8.41,8.51,8.12,8.39,35,0,1
2010-12-06,8.39,8.39,8.39,8.39,110,0,1
2010-12-07,8.42,8.42,8.28,8.42,193,0,1
2010-12-08,8.23,8.39,8.23,8.39,1,0,1
2010-12-09,8.27,8.57,8.27,8.39,65,0,1
2010-12-10,8.39,8.39,8.36,8.36,5,0,1
2010-12-13,8.39,8.39,8.36,8.36,5,0,1
2010-12-14,8.21,8.33,8.21,8.33,3,0,1
2010-12-15,8.21,8.33,8.21,8.33,3,0,1
2010-12-16,8.22,8.27,8.11,8.11,3,0,1
2010-12-17,8.15,8.15,7.80,8.00,129,0,1
2010-12-20,8.24,8.24,7.44,7.67,58,0,1
2010-12-21,7.73,7.73,7.50,7.50,7,0,1
2010-12-22,7.55,7.55,7.54,7.55,1,0,1
2010-12-23,7.68,7.68,7.47,7.62,25,0,1
2010-12-27,7.84,7.84,7.59,7.62,1,0,1
2010-12-28,7.78,7.78,7.45,7.62,2,0,1
2010-12-29,7.61,7.77,7.56,7.59,34,0,1
2010-12-30,7.62,8.09,7.53,8.09,32,0,1
2011-01-03,7.86,7.92,7.83,7.92,2,0,1
2011-01-04,8.09,8.09,7.83,7.92,2,0,1
2011-01-05,7.91,7.92,7.91,7.92,40,0,1
2011-01-06,7.91,7.91,7.91,7.91,3,0,1
2011-01-07,7.82,7.82,7.82,7.82,0,0,1
2011-01-10,7.91,7.91,7.70,7.91,14,0,1
2011-01-11,7.85,7.97,7.85,7.95,39,0,1
2011-01-12,7.93,8.09,7.93,8.09,59,0,1
2011-01-13,8.07,8.07,7.96,8.04,4,0,1
2011-01-14,8.04,8.10,7.98,8.10,6,0,1
2011-01-17,8.07,8.22,8.07,8.22,7,0,1
2011-01-18,8.22,8.22,8.19,8.21,58,0,1
2011-01-19,8.14,8.19,8.12,8.12,8,0,1
2011-01-20,8.18,8.23,8.13,8.22,114,0,1
2011-01-21,8.28,8.57,8.25,8.43,59,0,1
2011-01-24,8.57,8.59,8.52,8.58,68,0,1
2011-01-26,8.47,8.47,8.25,8.43,7,0,1
2011-01-27,8.58,8.58,7.98,8.16,37,0,1
2011-01-28,8.16,8.41,7.71,7.91,57,0,1
2011-01-31,8.04,8.22,7.82,8.01,11,0,1
2011-02-01,8.01,8.18,8.01,8.18,30,0,1
2011-02-02,8.40,8.40,8.04,8.04,44,0,1
2011-02-03,7.86,8.19,7.82,8.19,44,0,1
2011-02-04,8.39,8.46,7.91,8.04,39,0,1
2011-02-07,8.22,8.22,7.74,8.13,34,0,1
2011-02-08,7.98,8.06,7.82,8.04,73,0,1
2011-02-09,7.80,7.88,7.52,7.54,54,0,1
2011-02-10,6.87,6.98,6.81,6.84,1490,0,1
2011-02-11,6.84,6.90,6.68,6.75,1420,0,1
