date,open,high,low,close,volume,dividend,split
2010-07-30,14.29,14.58,14.10,14.53,605,0,1
2010-08-02,14.62,14.66,14.50,14.55,259,0,1
2010-08-03,14.47,14.62,14.40,14.43,503,0,1
2010-08-04,14.45,14.65,14.35,14.41,446,0,1
2010-08-05,14.39,14.60,14.34,14.60,364,0,1
2010-08-06,14.51,14.63,14.45,14.63,387,0,1
2010-08-09,14.67,14.71,14.39,14.54,448,0,1
2010-08-10,14.49,14.65,14.40,14.55,596,0,1
2010-08-11,14.53,14.53,14.11,14.22,505,0,1
2010-08-12,14.13,14.24,14.06,14.08,386,0,1
2010-08-13,14.07,14.33,14.03,14.05,490,0,1
2010-08-16,14.13,14.27,14.06,14.13,679,0,1
2010-08-17,14.16,14.27,14.05,14.13,445,0,1
2010-08-18,14.22,14.22,14.06,14.22,797,0,1
2010-08-19,14.26,14.26,13.92,13.92,489,0,1
2010-08-20,13.96,14.26,13.84,14.23,339,0,1
2010-08-23,14.13,14.23,13.93,14.05,351,0,1
2010-08-24,13.97,14.20,13.89,14.05,430,0,1
2010-08-25,13.95,14.10,13.89,13.93,552,0,1
2010-08-26,13.93,14.09,13.70,13.73,973,0,1
2010-08-27,13.84,14.66,13.65,13.99,1432,0,1
2010-08-30,14.10,14.10,13.56,13.62,494,0,1
2010-08-31,13.60,13.92,13.52,13.52,744,0,1
2010-09-01,13.68,13.81,13.54,13.70,1480,0,1
2010-09-02,13.65,13.70,13.50,13.54,602,0,1
2010-09-03,13.66,13.76,13.31,13.41,526,0,1
2010-09-06,13.41,13.60,13.16,13.30,233,0,1
2010-09-08,13.28,13.50,13.17,13.25,1157,0,1
2010-09-09,13.25,13.33,13.15,13.15,623,0,1
2010-09-10,13.18,13.57,13.16,13.57,815,0,1
2010-09-13,13.61,13.78,13.54,13.78,885,0,1
2010-09-14,13.74,13.81,13.56,13.68,1034,0,1
2010-09-15,13.61,13.78,13.46,13.78,783,0,1
2010-09-16,13.74,13.76,13.66,13.73,496,0,1
2010-09-17,13.65,13.75,13.52,13.52,258,0,1
2010-09-20,13.52,13.70,13.50,13.65,415,0,1
2010-09-21,13.69,13.75,13.50,13.75,619,0,1
2010-09-22,13.69,13.85,13.43,13.58,2018,0,1
2010-09-23,13.50,13.58,13.40,13.42,2706,0,1
2010-09-24,13.46,13.59,13.35,13.48,1055,0,1
2010-09-27,13.49,13.56,13.39,13.47,483,0,1
2010-09-28,13.51,13.57,13.36,13.44,389,0,1
