date,open,high,low,close,volume,dividend,split
2009-10-09,8.60,8.61,8.53,8.56,4236,0,1
2009-10-13,8.60,8.66,8.55,8.61,2607,0,1
2009-10-14,8.70,8.77,8.64,8.77,3331,0,1
2009-10-15,8.74,8.84,8.59,8.60,5281,0,1
2009-10-16,8.59,8.64,8.50,8.58,3190,0,1
2009-10-19,8.61,8.70,8.56,8.66,2705,0,1
2009-10-20,8.56,8.60,8.47,8.56,2953,0,1
2009-10-21,8.53,8.66,8.50,8.50,3413,0,1
2009-10-22,8.58,8.78,8.52,8.74,3196,0,1
2009-10-23,8.84,8.93,8.56,8.59,3981,0,1
2009-10-26,8.62,8.66,8.49,8.63,4754,0,1
2009-10-27,8.69,8.70,8.49,8.54,2816,0,1
2009-10-28,8.49,8.55,7.96,8.48,4575,0,1
2009-10-29,8.58,8.65,8.37,8.54,2563,0,1
2009-10-30,8.41,8.44,7.61,7.67,12774,0,1
2009-11-03,7.68,7.68,7.26,7.55,5878,0,1
2009-11-04,7.79,7.81,7.51,7.58,5689,0,1
2009-11-05,7.55,7.64,7.43,7.44,4172,0,1
2009-11-06,7.51,7.58,7.29,7.40,6257,0,1
2009-11-09,7.54,7.66,7.46,7.55,3390,0,1
2009-11-10,7.57,7.73,7.46,7.72,4587,0,1
2009-11-11,7.76,7.80,7.51,7.55,4435,0,1
2009-11-12,7.54,7.59,7.38,7.40,3582,0,1
2009-11-13,7.42,7.59,7.41,7.51,2698,0,1
2009-11-16,7.60,7.62,7.53,7.58,2832,0,1
2009-11-17,7.62,7.73,7.60,7.68,3764,0,1
2009-11-18,7.73,7.77,7.61,7.61,2920,0,1
2009-11-19,7.55,7.55,7.41,7.45,4225,0,1
2009-11-23,7.55,7.64,7.50,7.55,2181,0,1
2009-11-24,7.55,7.58,7.44,7.52,2207,0,1
2009-11-25,7.58,7.60,7.45,7.47,2322,0,1
2009-11-26,7.44,7.45,7.37,7.41,2056,0,1
2009-11-27,7.34,7.55,7.26,7.54,1816,0,1
2009-11-30,7.54,7.57,7.45,7.46,3372,0,1
2009-12-01,7.52,7.54,7.47,7.48,3177,0,1
2009-12-02,7.50,7.51,7.44,7.46,3020,0,1
2009-12-03,7.49,7.51,7.38,7.41,3028,0,1
2009-12-04,7.41,7.49,7.35,7.35,1757,0,1
2009-12-07,7.42,7.47,7.36,7.47,1562,0,1
2009-12-08,7.43,7.63,7.39,7.59,3297,0,1
2009-12-09,7.63,7.71,7.47,7.47,3222,0,1
2009-12-10,7.55,7.63,7.50,7.60,2033,0,1
2009-12-11,7.74,8.30,7.74,8.28,12985,0,1
2009-12-14,8.33,8.41,7.98,8.02,7719,0,1
2009-12-15,8.01,8.17,7.86,8.17,2338,0,1
2009-12-16,8.19,8.20,8.01,8.01,1894,0,1
2009-12-17,7.96,8.17,7.90,8.11,2452,0,1
2009-12-18,8.11,8.15,7.96,7.96,1311,0,1
2009-12-21,8.04,8.14,8.00,8.02,3261,0,1
