date,open,high,low,close,volume,dividend,split
2011-01-05,7.74,7.86,7.70,7.75,772,0,1
2011-01-06,7.82,7.84,7.67,7.68,674,0,1
2011-01-07,7.77,7.77,7.49,7.54,1892,0,1
2011-01-10,7.54,7.66,7.46,7.46,1762,0,1
2011-01-11,7.53,7.64,7.47,7.60,3588,0,1
2011-01-12,7.64,7.73,7.61,7.71,2822,0,1
2011-01-13,7.71,7.80,7.65,7.74,1583,0,1
2011-01-14,7.75,7.79,7.73,7.78,1104,0,1
2011-01-17,7.77,7.87,7.71,7.87,628,0,1
2011-01-18,7.91,7.91,7.72,7.76,1312,0,1
2011-01-19,7.70,7.80,7.61,7.68,942,0,1
2011-01-20,7.72,7.92,7.57,7.92,1174,0,1
2011-01-21,7.86,7.87,7.79,7.81,811,0,1
2011-01-24,7.75,7.86,7.73,7.83,664,0,1
2011-01-26,7.76,7.84,7.69,7.75,735,0,1
2011-01-27,7.76,7.76,7.53,7.57,1573,0,1
2011-01-28,7.57,7.57,7.31,7.37,2614,0,1
2011-01-31,7.38,7.51,7.36,7.51,1251,0,1
2011-02-01,7.45,7.53,7.37,7.49,1479,0,1
2011-02-02,7.49,7.49,7.38,7.45,1615,0,1
2011-02-03,7.39,7.49,7.33,7.47,700,0,1
2011-02-04,7.41,7.48,7.39,7.43,1248,0,1
2011-02-07,7.46,7.46,7.31,7.32,1061,0,1
2011-02-08,7.20,7.37,7.20,7.37,2608,0,1
2011-02-09,7.31,7.31,7.21,7.22,841,0,1
2011-02-10,7.28,7.28,7.16,7.17,1058,0,1
2011-02-11,7.23,7.30,7.15,7.24,867,0,1
2011-02-14,7.28,7.28,7.12,7.16,1354,0,1
2011-02-15,7.16,7.22,7.10,7.19,1161,0,1
2011-02-16,7.16,7.31,7.11,7.31,1450,0,1
2011-02-17,7.36,7.36,7.25,7.26,836,0,1
2011-02-18,7.28,7.40,7.25,7.39,1336,0,1
2011-02-21,7.31,7.40,7.31,7.40,391,0,1
2011-02-22,7.32,7.41,7.32,7.39,1267,0,1
2011-02-23,7.35,7.40,7.23,7.38,1783,0,1
2011-02-24,7.38,7.62,7.29,7.32,1042,0,1
