date,open,high,low,close,volume,dividend,split
2010-08-20,5.86,5.92,5.86,5.92,8,0,1
2010-08-23,5.95,5.95,5.95,5.95,0,0,1
2010-08-24,5.89,5.95,5.86,5.95,5,0,1
2010-08-25,5.99,6.08,5.99,6.08,16,0,1
2010-08-26,6.15,6.21,6.08,6.21,1,0,1
2010-08-27,6.27,6.31,6.25,6.25,39,0,1
2010-08-30,6.34,6.40,6.21,6.27,31,0,1
2010-08-31,6.34,6.40,6.34,6.40,108,0,1
2010-09-01,6.46,6.50,6.40,6.45,65,0,1
2010-09-02,6.50,6.50,6.47,6.47,477,0,1
2010-09-03,6.49,6.50,6.48,6.48,87,0,1
2010-09-06,6.48,6.50,6.48,6.50,174,0,1
2010-09-08,6.50,6.50,6.45,6.47,353,0,1
2010-09-09,6.47,6.50,6.45,6.47,314,0,1
2010-09-10,6.43,6.47,6.40,6.40,63,0,1
2010-09-13,6.47,6.47,6.40,6.40,12,0,1
2010-09-14,6.40,6.40,6.34,6.40,11,0,1
2010-09-15,6.47,6.50,6.40,6.40,131,0,1
2010-09-16,6.50,6.50,6.40,6.50,147,0,1
2010-09-17,6.50,6.50,6.49,6.50,105,0,1
2010-09-20,6.50,6.50,6.44,6.44,115,0,1
2010-09-21,6.50,6.50,6.44,6.50,15,0,1
2010-09-22,6.50,6.50,6.50,6.50,10,0,1
2010-09-23,6.50,6.58,6.50,6.52,25,0,1
2010-09-24,6.55,6.58,6.49,6.49,16,0,1
2010-09-27,6.52,6.55,6.52,6.55,0,0,1
2010-09-28,6.58,6.58,6.58,6.58,15,0,1
2010-09-29,6.65,6.65,6.65,6.65,6,0,1
2010-09-30,6.68,6.68,6.68,6.68,3,0,1
2010-10-01,6.65,6.68,6.65,6.68,9,0,1
2010-10-04,6.68,6.70,6.65,6.66,26,0,1
2010-10-05,6.72,6.78,6.72,6.78,13,0,1
2010-10-06,6.81,6.81,6.81,6.81,5,0,1
2010-10-07,6.81,6.88,6.75,6.78,36,0,1
2010-10-08,6.75,6.75,6.75,6.75,16,0,1
2010-10-11,6.78,6.81,6.72,6.72,15,0,1
2010-10-13,6.85,6.88,6.79,6.79,12,0,1
2010-10-14,6.88,6.95,6.88,6.95,6,0,1
2010-10-15,6.88,6.88,6.58,6.58,39,0,1
2010-10-18,6.88,6.88,6.58,6.58,39,0,1
2010-10-19,6.81,6.81,6.78,6.78,2,0,1
2010-10-20,6.85,6.85,6.85,6.85,1,0,1
2010-10-21,6.58,6.72,6.58,6.72,9,0,1
2010-10-22,6.72,6.72,6.72,6.72,5,0,1
2010-10-25,6.72,6.72,6.72,6.72,6,0,1
2010-10-26,6.72,6.72,6.72,6.72,3,0,1
2010-10-27,6.65,6.65,6.58,6.58,6,0,1
2010-10-28,6.58,6.58,6.58,6.58,4,0,1
2010-10-29,6.58,6.58,6.45,6.45,5,0,1
2010-11-01,6.62,6.62,6.52,6.58,520,0,1
2010-11-03,6.62,6.62,6.52,6.58,520,0,1
2010-11-04,6.62,6.62,6.52,6.58,520,0,1
2010-11-05,6.62,6.62,6.52,6.58,520,0,1
2010-11-08,6.55,6.65,6.55,6.55,36,0,1
2010-11-09,6.65,6.65,6.58,6.58,10,0,1
2010-11-10,6.55,6.58,6.45,6.58,941,0,1
2010-11-11,6.47,6.48,6.45,6.45,30,0,1
2010-11-12,6.45,6.45,6.45,6.45,2,0,1
2010-11-16,6.45,6.45,6.45,6.45,2,0,1
2010-11-17,6.47,6.47,6.26,6.26,6,0,1
2010-11-18,6.45,6.45,6.45,6.45,4,0,1
2010-11-19,6.52,6.52,6.52,6.52,3,0,1
2010-11-22,6.52,6.52,6.39,6.39,2,0,1
2010-11-23,6.42,6.42,6.42,6.42,0,0,1
2010-11-24,6.51,6.51,6.45,6.45,5,0,1
2010-11-25,6.52,6.52,6.45,6.45,10,0,1
2010-11-26,6.43,6.43,6.43,6.43,4,0,1
2010-11-29,6.43,6.43,6.43,6.43,4,0,1
2010-11-30,6.43,6.43,6.43,6.43,0,0,1
2010-12-01,6.52,6.52,6.42,6.42,3,0,1
2010-12-02,6.39,6.45,6.39,6.45,3,0,1
2010-12-03,6.55,6.55,6.55,6.55,2,0,1
2010-12-06,6.48,6.48,6.48,6.48,1,0,1
2010-12-07,6.45,6.51,6.42,6.45,12,0,1
2010-12-08,6.52,6.52,6.39,6.39,8,0,1
2010-12-09,6.45,6.45,6.39,6.39,4,0,1
2010-12-10,6.45,6.45,6.39,6.39,9,0,1
2010-12-13,6.45,6.45,6.45,6.45,1,0,1
2010-12-14,6.55,6.55,6.45,6.48,6,0,1
2010-12-15,6.48,6.48,6.45,6.45,2,0,1
2010-12-16,6.52,6.52,6.48,6.52,2,0,1
2010-12-17,6.55,6.56,6.48,6.48,5,0,1
2010-12-20,6.39,6.39,6.39,6.39,0,0,1
