date,open,high,low,close,volume,dividend,split
2018-04-23,18.01,20.41,17.91,20.09,41313,0,1
2018-04-24,20.53,21.43,20.46,20.46,5087,0,1
2018-04-25,20.44,20.73,19.69,19.84,5177,0,1
2018-04-26,20.09,20.73,19.59,20.04,5738,0,1
2018-04-27,20.28,20.47,19.57,20.47,6204,0,1
2018-04-30,20.46,20.46,20.03,20.24,174,0,1
2018-05-02,19.95,20.49,19.95,20.49,2227,0,1
2018-05-03,20.39,20.43,20.09,20.24,1007,0,1
2018-05-04,19.96,20.30,19.94,20.24,154,0,1
2018-05-07,20.13,21.00,19.80,20.24,239,0,1
2018-05-08,20.09,20.63,20.09,20.34,91,0,1
2018-05-09,20.34,20.62,20.24,20.34,269,0,1
2018-05-10,20.69,20.69,20.33,20.34,5225,0,1
2018-05-11,20.34,20.49,19.96,20.49,1580,0,1
2018-05-14,20.50,21.03,20.15,20.58,559,0,1
2018-05-15,20.05,20.29,19.84,19.99,2249,0,1
2018-05-16,19.70,20.04,19.70,20.04,350,0,1
2018-05-17,20.05,20.58,20.04,20.55,986,0,1
2018-05-18,20.21,21.01,20.21,20.58,1183,0,1
2018-05-21,20.63,21.80,20.34,20.83,4582,0,1
2018-05-22,20.85,21.55,20.84,21.31,282,0,1
2018-05-23,21.29,22.81,21.29,21.87,2204,0,1
2018-05-24,21.54,22.09,20.88,21.82,1086,0,1
2018-05-25,21.99,21.99,21.50,21.58,140,0,1
2018-05-28,22.11,22.11,20.58,21.13,303,0,1
2018-05-29,21.12,21.80,20.85,21.34,2374,0,1
2018-05-30,21.44,22.27,20.93,21.33,276,0,1
2018-06-01,21.49,22.17,21.16,21.81,791,0,1
2018-06-04,22.20,22.69,21.83,22.02,2224,0,1
2018-06-05,22.02,22.12,21.54,21.73,1203,0,1
2018-06-06,21.33,21.99,21.33,21.63,2970,0,1
2018-06-07,21.36,21.36,20.39,20.74,1112,0,1
2018-06-08,21.13,21.72,20.84,21.08,680,0,1
2018-06-11,21.30,21.56,20.91,21.53,242,0,1
2018-06-12,21.70,21.79,21.01,21.54,2151,0,1
2018-06-13,21.22,22.20,21.22,22.01,2890,0,1
2018-06-14,22.07,23.34,22.04,22.83,1581,0,1
2018-06-15,22.84,23.36,21.53,23.01,1014,0,1
2018-06-18,22.63,23.46,22.52,23.21,1030,0,1
2018-06-19,23.21,23.80,22.95,23.41,1440,0,1
2018-06-20,23.81,24.78,23.81,24.06,2511,0,1
2018-06-21,24.34,25.38,23.37,23.76,2214,0,1
2018-06-22,23.96,24.30,22.58,22.87,1888,0,1
2018-06-25,22.75,23.31,22.46,22.90,332,0,1
2018-06-26,22.74,22.98,22.17,22.21,908,0,1
2018-06-27,22.23,23.27,21.68,21.98,828,0,1
2018-06-28,21.82,21.85,21.03,21.53,1601,0,1
2018-06-29,21.80,22.03,21.03,21.43,1262,0,1
2018-07-02,21.18,21.48,20.89,21.33,474,0,1
2018-07-03,21.13,21.75,21.05,21.33,776,0,1
2018-07-04,21.33,22.30,21.28,22.30,33,0,1
2018-07-05,22.14,22.14,21.39,21.89,278,0,1
2018-07-06,21.68,22.10,21.47,21.66,162,0,1
2018-07-10,21.44,21.96,21.39,21.82,283,0,1
2018-07-11,21.96,22.37,21.74,22.20,465,0,1
2018-07-12,22.07,22.92,21.75,22.88,431,0,1
2018-07-13,23.00,24.28,22.82,23.66,252,0,1
2018-07-16,23.41,23.89,23.25,23.81,2442,0,1
2018-07-17,23.81,24.04,23.76,23.91,807,0,1
2018-07-18,23.73,24.13,23.72,24.12,503,0,1
2018-07-19,24.34,25.19,24.06,24.45,1549,0,1
2018-07-20,25.05,25.55,24.84,25.08,553,0,1
2018-07-23,25.23,25.23,24.57,24.57,578,0,1
2018-07-24,24.94,24.95,23.66,24.30,831,0,1
2018-07-25,24.33,24.55,24.30,24.30,688,0,1
2018-07-26,24.32,24.44,24.05,24.30,3126,0,1
2018-07-27,24.40,25.19,24.31,24.50,270,0,1
2018-07-30,24.93,24.95,24.21,24.21,495,0,1
2018-07-31,24.21,24.39,22.97,24.30,794,0,1
2018-08-01,24.36,24.64,23.42,24.30,1190,0,1
2018-08-02,24.30,24.75,24.12,24.30,907,0,1
2018-08-03,24.53,24.86,24.31,24.62,87,0,1
2018-08-06,24.80,24.80,24.30,24.30,93,0,1
2018-08-07,24.30,24.47,22.72,23.81,4768,0,1
2018-08-08,23.53,23.88,23.41,23.81,589,0,1
2018-08-09,24.10,24.47,23.34,23.81,567,0,1
2018-08-10,23.98,24.01,23.26,23.81,1033,0,1
2018-08-13,23.81,24.30,23.81,24.06,75,0,1
2018-08-14,23.98,24.66,23.47,24.06,335,0,1
2018-08-15,23.81,24.85,23.73,24.40,1050,0,1
2018-08-16,24.40,25.40,24.23,25.40,1382,0,1
2018-08-17,25.40,25.54,25.09,25.43,743,0,1
2018-08-20,25.39,25.71,25.20,25.54,436,0,1
2018-08-21,25.48,25.48,24.13,24.82,842,0,1
2018-08-22,24.73,24.90,24.50,24.70,259,0,1
2018-08-23,24.71,25.02,23.64,23.86,611,0,1
2018-08-24,24.16,24.53,24.15,24.26,101,0,1
2018-08-27,24.52,24.79,24.23,24.60,127,0,1
2018-08-28,25.34,25.48,24.65,25.40,150,0,1
2018-08-29,25.31,25.43,24.89,25.14,762,0,1
2018-08-30,24.91,25.04,24.80,24.85,809,0,1
2018-08-31,24.82,25.30,24.52,25.30,2457,0,1
