date,open,high,low,close,volume,dividend,split
2018-04-25,5.41,5.72,5.20,5.66,210303,0,1
2018-04-26,5.69,5.74,5.33,5.46,29354,0,1
2018-04-27,5.49,5.62,5.40,5.50,13982,0,1
2018-04-30,5.47,5.50,5.41,5.43,5555,0,1
2018-05-02,5.30,5.49,5.30,5.36,6425,0,1
2018-05-03,5.32,5.48,5.26,5.40,11859,0,1
2018-05-04,5.43,5.43,5.18,5.25,9492,0,1
2018-05-07,5.23,5.30,5.22,5.30,5628,0,1
2018-05-08,5.33,5.36,5.26,5.30,4736,0,1
2018-05-09,5.30,5.32,5.22,5.28,4996,0,1
2018-05-10,5.32,5.43,5.26,5.34,5946,0,1
2018-05-11,5.40,5.54,5.39,5.42,8790,0,1
2018-05-14,5.47,5.48,5.36,5.36,5256,0,1
2018-05-15,5.52,5.71,5.50,5.68,13513,0,1
2018-05-16,5.68,5.85,5.60,5.85,8844,0,1
2018-05-17,5.89,6.08,5.89,5.95,7808,0,1
2018-05-18,5.95,5.95,5.74,5.81,14619,0,1
2018-05-21,5.83,6.10,5.69,6.05,9509,0,1
2018-05-22,6.05,6.44,6.05,6.43,6941,0,1
2018-05-23,6.43,6.43,6.08,6.42,7315,0,1
2018-05-24,6.24,6.29,5.97,5.99,12331,0,1
2018-05-25,5.95,6.09,5.89,6.08,8436,0,1
2018-05-28,6.08,6.08,5.70,5.79,6411,0,1
2018-05-29,5.85,5.96,5.66,5.84,2629,0,1
2018-05-30,5.91,6.04,5.73,5.89,7408,0,1
2018-06-01,6.01,6.08,5.69,5.87,5865,0,1
2018-06-04,5.93,6.05,5.81,5.95,4560,0,1
2018-06-05,5.91,5.91,5.65,5.75,3595,0,1
2018-06-06,5.70,5.73,5.48,5.59,6656,0,1
2018-06-07,5.59,5.59,5.27,5.42,8206,0,1
2018-06-08,5.34,5.57,5.30,5.43,6645,0,1
2018-06-11,5.46,5.55,5.29,5.46,3034,0,1
2018-06-12,5.46,5.59,5.37,5.51,3053,0,1
2018-06-13,5.52,5.52,5.21,5.25,11790,0,1
2018-06-14,5.24,5.38,5.22,5.30,8048,0,1
2018-06-15,5.30,5.31,5.03,5.30,5843,0,1
2018-06-18,5.30,5.30,5.14,5.18,6980,0,1
2018-06-19,5.22,5.57,5.16,5.47,2394,0,1
2018-06-20,5.50,5.73,5.48,5.65,2124,0,1
2018-06-21,5.59,5.73,5.37,5.54,3703,0,1
2018-06-22,5.50,5.73,5.44,5.69,4482,0,1
2018-06-25,5.76,5.79,5.65,5.79,13637,0,1
2018-06-26,5.80,5.89,5.70,5.81,2298,0,1
2018-06-27,5.83,5.94,5.71,5.89,1769,0,1
2018-06-28,5.89,5.94,5.72,5.94,13831,0,1
2018-06-29,5.86,5.99,5.72,5.87,7384,0,1
2018-07-02,5.77,5.83,5.76,5.77,1320,0,1
2018-07-03,5.81,5.85,5.63,5.73,2137,0,1
2018-07-04,5.81,5.84,5.64,5.75,4814,0,1
2018-07-05,5.75,5.78,5.65,5.73,5866,0,1
2018-07-06,5.73,5.74,5.60,5.60,11536,0,1
2018-07-10,5.64,5.77,5.57,5.65,4219,0,1
2018-07-11,5.62,5.78,5.54,5.64,4077,0,1
2018-07-12,5.62,5.84,5.52,5.84,3530,0,1
2018-07-13,5.84,5.87,5.63,5.66,3343,0,1
2018-07-16,5.66,5.77,5.56,5.59,2601,0,1
2018-07-17,5.64,5.67,5.52,5.57,2290,0,1
2018-07-18,5.56,5.76,5.55,5.76,6666,0,1
2018-07-19,5.73,5.80,5.60,5.71,2540,0,1
2018-07-20,5.79,5.95,5.73,5.89,5353,0,1
2018-07-23,5.97,5.98,5.81,5.87,2179,0,1
2018-07-24,5.91,5.95,5.84,5.91,2108,0,1
2018-07-25,5.95,6.03,5.63,5.63,9799,0,1
2018-07-26,5.64,5.69,5.36,5.40,6813,0,1
2018-07-27,5.45,5.54,5.36,5.54,2997,0,1
2018-07-30,5.53,5.54,5.35,5.39,4602,0,1
2018-07-31,5.45,5.53,5.32,5.53,6460,0,1
2018-08-01,5.46,5.63,5.46,5.63,1344,0,1
2018-08-02,5.58,5.68,5.58,5.68,954,0,1
2018-08-03,5.68,5.68,5.60,5.62,2568,0,1
2018-08-06,5.59,5.60,5.44,5.45,3639,0,1
2018-08-07,5.45,5.46,5.30,5.30,3193,0,1
2018-08-08,5.35,5.38,5.17,5.28,4052,0,1
2018-08-09,5.24,5.30,5.15,5.29,8194,0,1
2018-08-10,5.30,5.39,5.24,5.29,2650,0,1
2018-08-13,5.29,5.37,5.21,5.30,2406,0,1
2018-08-14,5.26,5.26,4.99,5.19,7874,0,1
2018-08-15,5.16,5.21,5.10,5.10,10535,0,1
2018-08-16,5.12,5.14,4.87,4.93,24765,0,1
2018-08-17,4.89,4.89,4.71,4.79,32077,0,1
2018-08-20,4.82,4.89,4.81,4.85,6386,0,1
2018-08-21,4.80,4.86,4.71,4.80,20765,0,1
2018-08-22,4.76,4.94,4.76,4.93,7777,0,1
2018-08-23,4.86,4.98,4.82,4.92,1898,0,1
2018-08-24,4.97,5.06,4.91,5.05,2463,0,1
2018-08-27,5.05,5.12,4.94,5.10,4777,0,1
2018-08-28,5.09,5.10,4.95,5.04,4476,0,1
2018-08-29,5.07,5.10,4.92,4.99,2433,0,1
2018-08-30,4.97,5.08,4.92,5.08,3097,0,1
2018-08-31,5.10,5.13,5.02,5.08,4428,0,1
2018-09-03,5.08,5.10,4.96,5.00,2388,0,1
2018-09-04,4.99,4.99,4.82,4.90,2943,0,1
2018-09-05,4.89,5.07,4.88,4.91,1431,0,1
2018-09-06,4.97,5.13,4.79,4.97,2086,0,1
2018-09-10,5.07,5.14,4.99,5.06,2361,0,1
2018-09-11,4.99,5.04,4.92,4.92,3760,0,1
2018-09-12,4.91,5.00,4.78,4.89,2000,0,1
2018-09-13,4.94,4.95,4.72,4.80,3755,0,1
2018-09-14,4.76,4.84,4.67,4.68,4042,0,1
2018-09-17,4.69,4.96,4.68,4.92,1715,0,1
2018-09-18,5.00,5.05,4.93,4.99,2921,0,1
2018-09-19,4.93,5.01,4.61,4.61,7654,0,1
2018-09-20,4.65,4.66,4.40,4.57,18854,0,1
2018-09-21,4.55,4.77,4.55,4.65,4397,0,1
2018-09-24,4.65,4.66,4.38,4.39,12472,0,1
2018-09-25,4.32,4.50,4.13,4.28,9441,0,1
2018-09-26,4.29,4.46,4.23,4.36,7041,0,1
2018-09-27,4.39,4.68,4.36,4.60,9081,0,1
2018-09-28,4.60,4.78,4.51,4.71,9186,0,1
2018-10-01,4.71,4.71,4.59,4.63,5782,0,1
2018-10-02,4.64,4.71,4.56,4.63,5871,0,1
2018-10-03,4.73,4.93,4.63,4.72,6952,0,1
2018-10-04,4.73,4.83,4.54,4.71,3025,0,1
2018-10-05,4.80,4.80,4.51,4.58,5468,0,1
2018-10-08,4.61,4.75,4.61,4.66,10457,0,1
2018-10-09,4.69,4.81,4.58,4.58,6504,0,1
2018-10-10,4.51,4.81,4.51,4.63,2247,0,1
2018-10-11,4.63,4.80,4.60,4.75,3882,0,1
2018-10-15,4.80,4.89,4.48,4.83,7806,0,1
2018-10-16,4.82,5.08,4.78,4.95,7268,0,1
2018-10-17,4.91,5.09,4.91,5.02,7809,0,1
2018-10-18,5.02,5.15,5.02,5.06,3791,0,1
2018-10-19,5.07,5.12,4.88,4.96,2973,0,1
2018-10-22,5.00,5.13,4.99,5.00,4691,0,1
2018-10-23,5.01,5.10,4.97,5.06,3665,0,1
2018-10-24,5.04,5.04,4.98,4.99,6214,0,1
2018-10-25,5.00,5.09,4.90,5.09,7439,0,1
2018-10-26,5.10,5.23,4.92,5.03,8193,0,1
2018-10-29,5.26,5.26,5.04,5.06,2646,0,1
2018-10-30,5.07,5.10,4.94,5.00,19604,0,1
2018-10-31,5.07,5.13,4.95,5.00,12662,0,1
2018-11-01,5.07,5.23,4.97,5.05,4341,0,1
2018-11-05,5.08,5.15,4.96,5.12,4739,0,1
2018-11-06,5.11,5.16,4.97,5.03,3660,0,1
2018-11-07,5.06,5.30,5.06,5.18,5637,0,1
2018-11-08,5.18,5.31,5.10,5.18,3683,0,1
2018-11-09,5.18,5.30,5.04,5.14,6352,0,1
2018-11-12,5.16,5.21,5.08,5.15,2159,0,1
2018-11-13,5.18,5.22,5.02,5.04,9568,0,1
2018-11-14,5.03,5.38,4.76,5.32,24130,0,1
2018-11-16,5.28,5.59,5.28,5.44,9784,0,1
2018-11-19,5.41,5.46,5.35,5.38,2378,0,1
2018-11-21,5.30,5.47,5.24,5.35,13782,0,1
2018-11-22,5.33,5.38,5.21,5.30,3057,0,1
2018-11-23,5.27,5.33,5.18,5.33,5581,0,1
2018-11-26,5.38,5.38,5.11,5.28,3785,0,1
2018-11-27,5.25,5.54,5.12,5.47,6546,0,1
2018-11-28,5.44,5.78,5.40,5.66,6442,0,1
2018-11-29,5.65,5.74,5.58,5.64,3480,0,1
2018-11-30,5.65,5.65,5.52,5.56,6969,0,1
2018-12-03,5.58,5.72,5.55,5.66,4656,0,1
2018-12-04,5.67,5.80,5.54,5.62,3119,0,1
2018-12-05,5.62,5.79,5.57,5.77,2972,0,1
2018-12-06,5.71,5.73,5.62,5.69,4041,0,1
2018-12-07,5.74,5.77,5.51,5.65,7234,0,1
2018-12-10,5.65,5.68,5.57,5.59,3532,0,1
2018-12-11,5.59,5.66,5.57,5.62,4148,0,1
2018-12-12,5.67,5.78,5.66,5.74,3652,0,1
2018-12-13,5.75,5.95,5.70,5.82,7302,0,1
2018-12-14,5.82,5.92,5.75,5.79,4304,0,1
2018-12-17,5.79,5.79,5.64,5.69,3085,0,1
2018-12-18,5.69,5.84,5.67,5.78,5807,0,1
2018-12-19,5.79,6.06,5.78,6.00,5773,0,1
2018-12-20,5.98,6.23,5.84,5.96,14632,0,1
2018-12-21,6.04,6.04,5.76,5.89,30805,0,1
