date,open,high,low,close,volume,dividend,split
2008-11-06,37786.00,37786.00,35387.00,36362.00,3486281,0,1
2008-11-07,36362.00,37716.00,36297.00,36665.00,3072305,0,1
2008-11-10,36672.00,38725.00,36298.00,36776.00,3012000,0,1
2008-11-11,36775.00,37629.00,35499.00,37262.00,2921651,0,1
2008-11-12,37261.00,37261.00,34221.00,34374.00,4487288,0,1
2008-11-13,34374.00,36244.00,33645.00,35993.00,3478453,0,1
2008-11-14,36003.00,36697.00,35016.00,35789.00,2711375,0,1
2008-11-17,35777.00,36373.00,34427.00,35717.00,2472632,0,1
2008-11-18,35698.00,35698.00,33882.00,34095.00,2735046,0,1
2008-11-19,34098.00,34786.00,33275.00,33405.00,2428708,0,1
2008-11-21,33403.00,33403.00,31081.00,31251.00,3244615,0,1
2008-11-24,31255.00,34382.00,31255.00,34189.00,3105850,0,1
2008-11-25,34189.00,35532.00,33620.00,34813.00,3145583,0,1
2008-11-26,34814.00,36877.00,34319.00,36470.00,3606376,0,1
2008-11-27,36470.00,36817.00,36114.00,36213.00,1444784,0,1
2008-11-28,36216.00,37217.00,35944.00,36596.00,2703420,0,1
2008-12-01,36596.00,36596.00,34396.00,34741.00,2348000,0,1
2008-12-02,34743.00,35734.00,34743.00,35001.00,2651118,0,1
2008-12-03,35001.00,35476.00,33798.00,35297.00,2858950,0,1
2008-12-04,35311.00,35944.00,35128.00,35128.00,2203842,0,1
2008-12-05,35125.00,35435.00,34013.00,35347.00,3104774,0,1
2008-12-08,35347.00,38426.00,35347.00,38285.00,4219289,0,1
2008-12-09,38285.00,38863.00,37653.00,37968.00,3546675,0,1
2008-12-10,37972.00,39748.00,37972.00,39004.00,4112283,0,1
2008-12-11,39009.00,39880.00,38519.00,38519.00,3678633,0,1
2008-12-12,38517.00,39374.00,37014.00,39374.00,3039026,0,1
2008-12-15,39368.00,39735.00,38320.00,38320.00,2806828,0,1
2008-12-16,38324.00,39993.00,38324.00,39993.00,2740642,0,1
2008-12-17,39993.00,40361.00,39121.00,39947.00,4586385,0,1
2008-12-18,39947.00,40498.00,38995.00,39536.00,3145369,0,1
