date,open,high,low,close,volume,dividend,split
2010-06-28,13.30,13.74,13.30,13.46,473,0,1
2010-06-29,13.26,13.55,13.17,13.50,142,0,1
2010-06-30,13.67,13.67,13.13,13.42,358,0,1
2010-07-01,13.44,13.59,13.15,13.15,96,0,1
2010-07-02,13.32,13.41,13.17,13.34,34,0,1
2010-07-05,13.54,13.54,13.08,13.34,18,0,1
2010-07-06,13.54,13.62,13.28,13.45,346,0,1
2010-07-07,13.59,13.59,13.35,13.46,73,0,1
2010-07-08,13.20,13.74,13.20,13.55,356,0,1
2010-07-12,13.55,13.72,13.12,13.38,290,0,1
2010-07-13,13.71,13.71,13.28,13.63,211,0,1
2010-07-14,13.44,13.72,13.16,13.62,138,0,1
2010-07-15,13.63,13.76,13.21,13.76,187,0,1
2010-07-16,13.36,13.71,13.36,13.47,50,0,1
2010-07-19,13.65,13.75,13.48,13.59,200,0,1
2010-07-20,13.76,14.28,13.63,14.23,172,0,1
2010-07-21,13.86,14.65,13.86,14.39,313,0,1
2010-07-22,14.28,14.69,14.21,14.52,446,0,1
2010-07-23,14.10,14.82,14.00,14.82,122,0,1
2010-07-26,14.75,14.90,14.39,14.90,203,0,1
2010-07-27,14.78,15.03,14.73,14.73,142,0,1
2010-07-28,14.68,14.94,14.39,14.69,675,0,1
2010-07-29,14.78,14.81,14.61,14.71,198,0,1
2010-07-30,14.80,14.80,14.56,14.80,349,0,1
2010-08-02,14.46,14.98,14.46,14.92,364,0,1
2010-08-03,14.92,14.92,14.28,14.35,211,0,1
2010-08-04,14.61,14.73,13.98,14.16,304,0,1
2010-08-05,14.26,14.56,13.63,13.63,127,0,1
2010-08-06,13.84,13.84,13.34,13.55,442,0,1
2010-08-09,13.72,13.72,13.28,13.41,139,0,1
2010-08-10,13.25,13.42,13.09,13.29,325,0,1
2010-08-11,13.40,13.46,13.01,13.19,85,0,1
2010-08-12,13.00,13.61,13.00,13.31,157,0,1
2010-08-13,13.54,14.16,13.50,13.58,472,0,1
2010-08-16,13.62,14.09,13.48,13.56,112,0,1
2010-08-17,13.74,14.04,13.65,13.94,136,0,1
2010-08-18,13.97,14.02,13.67,13.97,70,0,1
2010-08-19,14.02,14.39,14.01,14.39,128,0,1
2010-08-20,13.99,14.44,13.99,14.44,83,0,1
2010-08-23,14.10,14.50,14.10,14.50,129,0,1
2010-08-24,14.50,14.65,14.08,14.65,107,0,1
2010-08-25,14.44,14.81,14.23,14.23,243,0,1
2010-08-26,14.61,14.73,14.17,14.50,201,0,1
2010-08-27,14.55,14.72,14.20,14.39,155,0,1
2010-08-30,14.79,14.79,14.31,14.31,16,0,1
2010-08-31,14.39,14.50,14.31,14.31,285,0,1
2010-09-01,14.36,14.65,14.30,14.30,164,0,1
2010-09-02,14.21,14.78,14.20,14.78,98,0,1
2010-09-03,14.39,14.63,14.17,14.63,172,0,1
2010-09-06,14.48,14.78,14.48,14.78,96,0,1
2010-09-08,14.48,15.20,14.48,15.19,412,0,1
2010-09-09,14.96,15.22,14.90,15.22,320,0,1
2010-09-10,14.94,16.13,14.89,15.24,159,0,1
2010-09-13,15.37,15.66,15.14,15.26,368,0,1
2010-09-14,15.04,15.66,15.04,15.66,478,0,1
2010-09-15,15.66,16.26,15.46,16.24,725,0,1
2010-09-16,15.92,16.28,15.92,16.09,113,0,1
2010-09-17,15.92,16.43,15.92,16.30,102,0,1
2010-09-20,16.43,16.43,15.70,15.92,172,0,1
2010-09-21,15.88,16.38,15.53,15.74,637,0,1
2010-09-22,16.09,16.19,15.36,15.48,107,0,1
2010-09-23,15.86,15.86,15.28,15.48,159,0,1
2010-09-24,15.66,16.15,15.44,16.00,312,0,1
2010-09-27,16.00,16.43,15.83,16.09,295,0,1
2010-09-28,16.46,16.46,16.02,16.09,113,0,1
2010-09-29,16.22,16.22,15.77,15.88,123,0,1
2010-09-30,15.91,16.09,15.86,16.09,304,0,1
2010-10-01,16.40,16.41,15.92,16.17,280,0,1
2010-10-04,16.09,16.93,16.09,16.47,295,0,1
2010-10-05,16.47,16.68,16.17,16.51,321,0,1
2010-10-06,16.68,16.91,16.29,16.43,113,0,1
2010-10-07,16.52,16.78,16.30,16.55,133,0,1
2010-10-08,16.56,16.81,16.41,16.60,177,0,1
2010-10-11,16.76,16.96,16.51,16.89,165,0,1
2010-10-13,16.85,17.78,16.85,17.57,816,0,1
2010-10-14,17.17,17.57,17.17,17.34,493,0,1
2010-10-15,17.24,17.65,17.20,17.36,259,0,1
2010-10-18,17.19,17.57,17.15,17.15,211,0,1
2010-10-19,17.15,17.22,16.30,16.47,341,0,1
2010-10-20,16.72,16.82,16.43,16.51,246,0,1
2010-10-21,16.43,16.53,16.30,16.30,459,0,1
2010-10-22,16.09,16.26,16.05,16.09,854,0,1
2010-10-25,16.27,16.51,16.03,16.51,121,0,1
2010-10-26,16.51,16.93,16.31,16.93,160,0,1
2010-10-27,16.72,16.93,16.56,16.62,90,0,1
2010-10-28,16.64,16.93,16.43,16.93,72,0,1
2010-10-29,16.93,17.02,16.63,16.81,127,0,1
2010-11-01,17.14,17.14,16.68,16.85,105,0,1
2010-11-03,16.95,17.23,16.91,17.10,539,0,1
2010-11-04,17.19,17.90,17.19,17.87,1466,0,1
2010-11-05,17.70,18.36,17.57,18.20,785,0,1
2010-11-08,18.29,18.29,17.99,18.17,109,0,1
