date,open,high,low,close,volume,dividend,split
2010-12-13,3.94,3.95,3.88,3.93,10945,0,1
2010-12-14,3.93,3.96,3.87,3.96,9164,0,1
2010-12-15,3.93,3.96,3.90,3.95,15567,0,1
2010-12-16,3.97,3.98,3.90,3.91,11484,0,1
2010-12-17,3.90,3.96,3.89,3.96,9155,0,1
2010-12-20,3.96,3.97,3.86,3.86,12228,0,1
2010-12-21,3.89,3.97,3.87,3.95,7177,0,1
2010-12-22,3.94,4.05,3.91,4.05,13512,0,1
2010-12-23,4.02,4.09,4.02,4.05,9498,0,1
2010-12-27,4.03,4.05,3.97,3.97,3317,0,1
2010-12-28,3.98,4.05,3.95,3.99,5333,0,1
2010-12-29,3.99,4.09,3.98,4.09,7233,0,1
2010-12-30,4.10,4.11,4.05,4.11,13783,0,1
2011-01-03,4.14,4.20,4.12,4.14,10221,0,1
2011-01-04,4.17,4.20,4.14,4.20,11212,0,1
2011-01-05,4.17,4.25,4.17,4.25,11280,0,1
2011-01-06,4.23,4.23,4.13,4.16,16692,0,1
2011-01-07,4.15,4.17,4.02,4.04,12300,0,1
2011-01-10,4.02,4.08,3.97,4.08,11811,0,1
2011-01-11,4.11,4.16,4.10,4.12,17038,0,1
2011-01-12,4.16,4.22,4.16,4.22,12836,0,1
2011-01-13,4.24,4.25,4.13,4.14,8044,0,1
2011-01-14,4.14,4.16,4.10,4.12,14255,0,1
2011-01-17,4.10,4.12,4.07,4.08,5764,0,1
2011-01-18,4.09,4.12,4.01,4.02,14902,0,1
2011-01-19,4.03,4.05,3.94,3.95,21398,0,1
2011-01-20,3.94,3.96,3.82,3.87,25496,0,1
2011-01-21,3.88,3.91,3.84,3.87,13012,0,1
2011-01-24,3.88,3.91,3.86,3.91,8605,0,1
2011-01-26,3.90,3.92,3.83,3.84,11759,0,1
2011-01-27,3.86,3.87,3.73,3.85,14948,0,1
2011-01-28,3.84,3.85,3.68,3.79,15398,0,1
2011-01-31,3.80,3.80,3.67,3.70,17855,0,1
2011-02-01,3.74,3.75,3.70,3.73,10666,0,1
2011-02-02,3.74,3.77,3.65,3.65,20185,0,1
2011-02-03,3.65,3.66,3.61,3.65,14561,0,1
2011-02-04,3.63,3.64,3.51,3.53,15592,0,1
2011-02-07,3.54,3.58,3.49,3.56,10784,0,1
2011-02-08,3.54,3.72,3.53,3.70,22977,0,1
2011-02-09,3.68,3.70,3.57,3.57,11895,0,1
2011-02-10,3.57,3.62,3.57,3.58,17615,0,1
2011-02-11,3.60,3.73,3.56,3.70,18307,0,1
2011-02-14,3.69,3.76,3.69,3.74,10572,0,1
2011-02-15,3.72,3.80,3.69,3.79,12789,0,1
2011-02-16,3.79,3.88,3.78,3.86,14833,0,1
2011-02-17,3.87,3.92,3.84,3.90,11090,0,1
2011-02-18,3.88,3.91,3.82,3.89,6908,0,1
2011-02-21,3.87,3.88,3.81,3.85,8008,0,1
2011-02-22,3.82,3.87,3.72,3.75,15477,0,1
2011-02-23,3.77,3.81,3.70,3.80,12953,0,1
2011-02-24,3.81,3.86,3.72,3.78,13513,0,1
2011-02-25,3.80,3.82,3.67,3.74,14858,0,1
2011-02-28,3.74,3.81,3.73,3.81,15576,0,1
2011-03-01,3.81,3.82,3.71,3.71,10346,0,1
2011-03-02,3.72,3.76,3.70,3.74,9601,0,1
2011-03-03,3.77,3.82,3.74,3.79,12497,0,1
2011-03-04,3.79,3.83,3.74,3.79,10235,0,1
2011-03-09,3.75,3.82,3.71,3.71,7735,0,1
2011-03-10,3.68,3.68,3.58,3.59,17230,0,1
2011-03-11,3.59,3.67,3.57,3.67,16196,0,1
2011-03-14,3.64,3.70,3.63,3.69,7928,0,1
2011-03-15,3.59,3.75,3.58,3.74,16181,0,1
2011-03-16,3.74,3.77,3.61,3.66,12209,0,1
2011-03-17,3.70,3.72,3.63,3.67,12897,0,1
2011-03-18,3.67,3.75,3.67,3.73,9653,0,1
2011-03-21,3.75,3.77,3.73,3.74,9603,0,1
2011-03-22,3.74,3.87,3.74,3.85,12716,0,1
2011-03-23,3.82,3.85,3.80,3.82,8497,0,1
2011-03-24,3.82,3.87,3.81,3.83,9539,0,1
2011-03-25,3.85,3.85,3.81,3.84,6270,0,1
2011-03-28,3.84,3.87,3.82,3.83,4080,0,1
2011-03-29,3.85,3.85,3.79,3.81,8048,0,1
2011-03-30,3.85,3.95,3.83,3.95,11844,0,1
2011-03-31,3.95,4.08,3.94,4.08,21796,0,1
2011-04-01,4.08,4.15,4.07,4.10,15649,0,1
2011-04-04,4.11,4.12,4.04,4.07,10298,0,1
2011-04-05,4.06,4.09,4.03,4.06,9117,0,1
2011-04-06,4.07,4.08,4.01,4.03,7639,0,1
2011-04-07,4.03,4.06,3.99,4.03,9757,0,1
2011-04-08,4.02,4.05,3.94,3.96,10712,0,1
2011-04-11,3.95,3.98,3.91,3.95,10138,0,1
2011-04-12,3.92,3.93,3.87,3.92,9450,0,1
2011-04-13,3.97,3.97,3.90,3.94,11416,0,1
2011-04-14,3.90,3.95,3.83,3.86,9733,0,1
2011-04-15,3.87,3.90,3.84,3.88,6214,0,1
2011-04-18,3.86,3.87,3.78,3.85,10754,0,1
2011-04-19,3.88,3.91,3.87,3.90,8001,0,1
2011-04-20,3.94,3.98,3.91,3.98,6484,0,1
2011-04-25,3.97,3.97,3.92,3.95,4371,0,1
2011-04-26,3.95,4.01,3.95,3.99,5453,0,1
2011-04-27,3.98,4.01,3.90,3.92,9677,0,1
2011-04-28,3.89,3.92,3.79,3.82,11739,0,1
2011-04-29,3.81,3.87,3.80,3.87,7230,0,1
2011-05-02,3.88,3.92,3.79,3.82,10146,0,1
2011-05-03,3.80,3.82,3.69,3.72,12166,0,1
2011-05-04,3.75,3.76,3.68,3.72,13035,0,1
2011-05-05,3.70,3.78,3.69,3.74,11390,0,1
2011-05-06,3.78,3.85,3.77,3.84,9738,0,1
2011-05-09,3.83,3.86,3.79,3.83,9221,0,1
2011-05-10,3.87,3.90,3.85,3.89,6716,0,1
2011-05-11,3.88,3.88,3.80,3.82,16815,0,1
2011-05-12,3.80,3.85,3.79,3.83,13564,0,1
2011-05-13,3.83,3.83,3.71,3.73,17168,0,1
2011-05-16,3.72,3.75,3.65,3.66,20587,0,1
2011-05-17,3.67,3.68,3.62,3.68,12575,0,1
2011-05-18,3.68,3.71,3.60,3.64,12966,0,1
2011-05-19,3.64,3.65,3.58,3.60,8877,0,1
2011-05-20,3.62,3.63,3.56,3.58,13341,0,1
2011-05-23,3.55,3.60,3.52,3.56,10835,0,1
2011-05-24,3.58,3.65,3.57,3.65,9170,0,1
2011-05-25,3.64,3.65,3.60,3.63,8010,0,1
2011-05-26,3.64,3.74,3.63,3.74,12689,0,1
2011-05-27,3.73,3.77,3.71,3.72,9425,0,1
2011-05-30,3.73,3.74,3.70,3.70,4608,0,1
2011-05-31,3.72,3.77,3.70,3.77,14204,0,1
2011-06-01,3.75,3.78,3.69,3.72,15199,0,1
2011-06-02,3.73,3.76,3.67,3.76,13942,0,1
2011-06-03,3.74,3.81,3.72,3.76,10836,0,1
2011-06-06,3.76,3.78,3.66,3.68,9279,0,1
2011-06-07,3.71,3.76,3.70,3.73,11750,0,1
2011-06-08,3.70,3.73,3.67,3.73,12058,0,1
2011-06-09,3.71,3.72,3.65,3.69,12325,0,1
2011-06-10,3.69,3.69,3.64,3.65,13119,0,1
2011-06-13,3.68,3.69,3.65,3.65,11363,0,1
2011-06-14,3.68,3.70,3.66,3.70,9814,0,1
2011-06-15,3.67,3.74,3.66,3.72,18811,0,1
2011-06-16,3.70,3.74,3.64,3.70,12639,0,1
2011-06-17,3.71,3.71,3.62,3.68,13225,0,1
2011-06-20,3.64,3.72,3.64,3.70,14839,0,1
2011-06-21,3.71,3.72,3.67,3.68,17102,0,1
2011-06-22,3.66,3.75,3.65,3.69,9813,0,1
2011-06-24,3.70,3.71,3.65,3.68,13739,0,1
2011-06-27,3.69,3.71,3.66,3.69,8883,0,1
2011-06-28,3.70,3.79,3.69,3.79,12130,0,1
2011-06-29,3.80,3.83,3.77,3.81,8686,0,1
2011-06-30,3.83,3.84,3.79,3.84,9504,0,1
2011-07-01,3.83,3.86,3.78,3.85,12252,0,1
2011-07-04,3.84,3.88,3.82,3.86,4642,0,1
2011-07-05,3.85,3.87,3.81,3.86,7341,0,1
2011-07-06,3.83,3.85,3.78,3.81,5976,0,1
