date,open,high,low,close,volume,dividend,split
2013-12-02,2.40,2.56,2.17,2.25,989,0,1
2013-12-03,2.24,2.31,2.20,2.23,777,0,1
2013-12-04,2.27,2.27,1.63,1.76,2567,0,1
2013-12-05,1.76,1.91,0.72,0.95,3211,0,1
2013-12-06,1.00,1.08,0.25,0.32,3179,0,1
2013-12-09,0.32,0.34,0.16,0.18,3844,0,1
2013-12-10,0.19,0.27,0.18,0.19,7440,0,1
2013-12-11,0.19,0.26,0.19,0.25,1954,0,1
2013-12-12,0.23,0.25,0.14,0.16,5376,0,1
2013-12-13,0.14,0.15,0.10,0.11,4047,0,1
2013-12-16,0.11,0.11,0.02,0.03,10049,0,1
2013-12-17,0.03,0.15,0.02,0.14,10131,0,1
2013-12-18,0.14,0.21,0.08,0.08,36674,0,1
2013-12-19,9.38,9.38,9.38,9.38,17,0,1
2013-12-20,9.38,9.38,9.38,9.38,17,0,1
2013-12-23,9.38,9.38,9.38,9.38,17,0,1
2013-12-26,9.38,9.38,9.38,9.38,17,0,1
2013-12-27,9.38,9.38,9.38,9.38,17,0,1
2013-12-30,9.38,9.38,9.38,9.38,17,0,1
2014-01-02,9.38,9.38,9.38,9.38,17,0,1
2014-01-03,9.38,9.38,9.38,9.38,17,0,1
2014-01-06,9.38,9.38,9.38,9.38,17,0,1
2014-01-07,9.38,9.38,9.38,9.38,17,0,1
2014-01-08,9.38,9.38,9.38,9.38,17,0,1
2014-01-09,9.38,9.38,9.38,9.38,17,0,1
2014-01-10,9.38,9.38,9.38,9.38,17,0,1
2014-01-13,9.38,9.38,9.38,9.38,17,0,1
2014-01-14,9.38,9.38,9.38,9.38,17,0,1
2014-01-15,9.38,9.38,9.38,9.38,17,0,1
2014-01-16,9.38,9.38,9.38,9.38,17,0,1
2014-01-17,9.38,9.38,9.38,9.38,17,0,1
2014-01-20,9.38,9.38,9.38,9.38,17,0,1
2014-01-21,9.38,9.38,9.38,9.38,17,0,1
2014-01-22,9.38,9.38,9.38,9.38,17,0,1
2014-01-23,9.38,9.38,9.38,9.38,17,0,1
2014-01-24,9.78,9.78,9.78,9.78,0,0,1
2014-01-27,10.06,10.06,10.06,10.06,0,0,1
2014-01-28,10.13,10.13,9.90,10.05,86,0,1
2014-01-29,9.79,9.87,9.79,9.86,66,0,1
2014-01-30,9.79,9.95,9.74,9.74,174,0,1
2014-01-31,9.74,9.91,9.66,9.90,184,0,1
2014-02-03,9.66,9.66,9.45,9.58,46,0,1
2014-02-04,9.42,9.42,9.10,9.26,321,0,1
2014-02-05,9.34,9.34,8.86,9.06,1286,0,1
2014-02-06,9.30,9.58,8.97,9.26,1244,0,1
2014-02-07,9.42,9.47,8.78,9.42,1700,0,1
2014-02-10,8.95,9.58,8.95,9.52,877,0,1
2014-02-11,9.66,9.74,9.37,9.58,1127,0,1
2014-02-12,9.74,9.74,9.45,9.74,1925,0,1
2014-02-13,9.43,9.79,9.30,9.79,1347,0,1
2014-02-14,9.79,9.98,9.58,9.98,837,0,1
2014-02-17,9.91,10.07,9.78,10.00,815,0,1
2014-02-18,9.83,9.89,9.62,9.82,1168,0,1
2014-02-19,9.63,9.67,9.50,9.66,1970,0,1
2014-02-20,9.65,9.72,9.48,9.69,1747,0,1
2014-02-21,9.69,9.74,9.57,9.65,1471,0,1
2014-02-24,9.71,9.71,9.43,9.47,1006,0,1
2014-02-25,9.43,9.45,9.12,9.37,2035,0,1
2014-02-26,9.26,9.44,9.22,9.27,1293,0,1
2014-02-27,9.32,9.42,9.16,9.42,1224,0,1
2014-02-28,9.42,9.46,9.10,9.26,1924,0,1
2014-03-05,9.20,9.20,9.00,9.13,942,0,1
2014-03-06,9.13,9.13,8.96,9.02,1322,0,1
2014-03-07,9.02,9.03,8.83,8.83,1508,0,1
2014-03-10,8.83,8.83,8.43,8.53,1979,0,1
2014-03-11,8.58,8.58,8.30,8.47,1773,0,1
2014-03-12,8.40,8.75,8.37,8.73,2105,0,1
2014-03-13,8.76,8.76,8.47,8.62,2005,0,1
2014-03-14,8.53,8.70,8.43,8.62,2387,0,1
2014-03-17,8.59,8.68,8.47,8.53,1105,0,1
2014-03-18,8.57,8.91,8.45,8.91,3949,0,1
2014-03-19,8.91,9.09,8.78,8.98,1555,0,1
2014-03-20,8.98,9.12,8.80,9.08,1692,0,1
2014-03-21,9.05,9.05,8.89,8.93,1263,0,1
2014-03-24,8.93,9.00,8.83,8.96,1092,0,1
2014-03-25,9.17,9.17,8.78,9.12,1154,0,1
2014-03-26,9.14,9.17,8.81,9.06,3323,0,1
2014-03-27,9.18,9.29,8.83,9.26,2185,0,1
2014-03-28,9.34,9.41,9.08,9.26,1299,0,1
2014-03-31,9.31,9.39,9.14,9.38,2030,0,1
2014-04-01,9.35,9.43,9.20,9.33,1183,0,1
2014-04-02,9.33,9.64,9.25,9.64,1962,0,1
2014-04-03,9.39,9.67,9.39,9.67,952,0,1
2014-04-04,9.75,9.79,9.56,9.74,1520,0,1
2014-04-07,9.69,9.86,9.56,9.81,1778,0,1
2014-04-08,9.96,9.98,9.55,9.65,3133,0,1
2014-04-09,9.59,9.59,9.31,9.45,5310,0,1
