date,open,high,low,close,volume,dividend,split
2011-01-05,7.20,7.44,7.15,7.44,8969,0,1
2011-01-06,7.44,7.45,7.31,7.33,5816,0,1
2011-01-07,7.34,7.41,7.30,7.37,3065,0,1
2011-01-10,7.14,7.33,7.12,7.32,6048,0,1
2011-01-11,7.33,7.38,7.21,7.38,5412,0,1
2011-01-12,7.38,7.39,7.27,7.34,4696,0,1
2011-01-13,7.34,7.42,7.26,7.26,3038,0,1
2011-01-14,7.24,7.36,7.18,7.33,2443,0,1
2011-01-17,7.31,7.31,7.14,7.25,4347,0,1
2011-01-18,7.26,7.28,7.14,7.22,2487,0,1
2011-01-19,7.17,7.23,6.99,7.07,3249,0,1
2011-01-20,7.03,7.13,6.99,7.10,2702,0,1
2011-01-21,7.09,7.11,6.95,7.02,2196,0,1
2011-01-24,7.02,7.11,6.98,7.09,1542,0,1
2011-01-26,7.05,7.09,6.95,6.96,3502,0,1
2011-01-27,6.96,7.01,6.68,6.73,7173,0,1
2011-01-28,6.73,6.73,6.38,6.39,5328,0,1
2011-01-31,6.44,6.52,6.20,6.31,6785,0,1
2011-02-01,6.39,6.52,6.35,6.51,5266,0,1
2011-02-02,6.53,6.57,6.27,6.31,6086,0,1
2011-02-03,6.30,6.30,5.93,6.08,8692,0,1
2011-02-04,6.08,6.12,5.79,5.87,8632,0,1
2011-02-07,5.94,6.13,5.81,6.01,4715,0,1
2011-02-08,6.01,6.31,5.98,6.25,7204,0,1
2011-02-09,6.25,6.25,5.92,6.02,6608,0,1
2011-02-10,5.97,6.16,5.94,6.14,4462,0,1
2011-02-11,6.13,6.24,6.09,6.22,5269,0,1
2011-02-14,6.20,6.40,6.11,6.39,4382,0,1
2011-02-15,6.36,6.43,6.27,6.28,4517,0,1
2011-02-16,6.32,6.50,6.27,6.38,6514,0,1
2011-02-17,6.42,6.45,6.29,6.42,2470,0,1
2011-02-18,6.37,6.64,6.32,6.64,4610,0,1
2011-02-21,6.58,6.58,6.47,6.53,2353,0,1
2011-02-22,6.44,6.50,6.31,6.37,5629,0,1
2011-02-23,6.37,6.42,6.13,6.21,5987,0,1
2011-02-24,6.20,6.29,6.09,6.15,14099,0,1
2011-02-25,6.22,6.25,6.04,6.20,3732,0,1
2011-02-28,6.29,6.34,6.21,6.32,2805,0,1
2011-03-01,6.32,6.36,6.13,6.13,3447,0,1
2011-03-02,6.10,6.29,6.09,6.18,2695,0,1
2011-03-03,6.22,6.32,6.18,6.32,3152,0,1
2011-03-04,6.30,6.31,6.20,6.28,1326,0,1
2011-03-09,6.28,6.36,6.20,6.32,2353,0,1
2011-03-10,6.23,6.43,6.16,6.38,4618,0,1
2011-03-11,6.31,6.62,6.31,6.62,7160,0,1
2011-03-14,6.59,6.82,6.45,6.79,4061,0,1
2011-03-15,6.59,6.92,6.49,6.84,6260,0,1
2011-03-16,6.85,6.98,6.74,6.83,5528,0,1
2011-03-17,6.91,6.95,6.75,6.77,2812,0,1
2011-03-18,6.81,6.93,6.62,6.70,8581,0,1
2011-03-21,6.79,6.79,6.55,6.62,6685,0,1
2011-03-22,6.62,6.70,6.57,6.64,6067,0,1
2011-03-23,6.60,6.74,6.59,6.62,7785,0,1
2011-03-24,6.51,6.51,6.24,6.29,12155,0,1
2011-03-25,6.29,6.50,6.29,6.38,12293,0,1
2011-03-28,6.44,6.49,6.30,6.42,3225,0,1
2011-03-29,6.47,6.50,6.37,6.47,2286,0,1
2011-03-30,6.49,6.49,6.40,6.47,2217,0,1
2011-03-31,6.44,6.53,6.37,6.45,7060,0,1
2011-04-01,6.49,6.70,6.45,6.68,6003,0,1
2011-04-04,6.69,6.75,6.61,6.68,3079,0,1
2011-04-05,6.67,6.79,6.55,6.71,3654,0,1
2011-04-06,6.75,6.77,6.58,6.66,2442,0,1
2011-04-07,6.63,6.69,6.53,6.61,4180,0,1
