date,open,high,low,close,volume,dividend,split
2010-12-21,7.39,7.72,7.36,7.63,5529,0,1
2010-12-22,7.62,7.62,7.47,7.60,5212,0,1
2010-12-23,7.60,7.72,7.52,7.65,3500,0,1
2010-12-27,7.62,7.62,7.40,7.41,4808,0,1
2010-12-28,7.43,7.49,7.29,7.39,1964,0,1
2010-12-29,7.39,7.46,7.32,7.41,2809,0,1
2010-12-30,7.41,7.65,7.35,7.61,3814,0,1
2011-01-03,7.63,7.82,7.63,7.71,3003,0,1
2011-01-04,7.78,7.78,7.54,7.60,4105,0,1
2011-01-05,7.51,7.69,7.51,7.54,3817,0,1
2011-01-06,7.56,7.58,7.32,7.36,6599,0,1
2011-01-07,7.36,7.40,7.25,7.29,3118,0,1
2011-01-10,7.34,7.40,7.20,7.21,5018,0,1
2011-01-11,7.29,7.32,7.22,7.29,6456,0,1
2011-01-12,7.36,7.37,7.09,7.21,12087,0,1
2011-01-13,7.22,7.32,7.16,7.17,6525,0,1
2011-01-14,7.19,7.21,7.12,7.18,5887,0,1
2011-01-17,7.16,7.19,7.11,7.17,2480,0,1
2011-01-18,7.20,7.22,7.06,7.18,8474,0,1
2011-01-19,7.20,7.26,7.10,7.20,4533,0,1
2011-01-20,7.19,7.34,7.10,7.17,6610,0,1
2011-01-21,7.21,7.21,7.06,7.08,6212,0,1
2011-01-24,7.08,7.17,7.01,7.16,3249,0,1
2011-01-26,7.15,7.17,6.91,6.95,9113,0,1
2011-01-27,6.95,6.97,6.60,6.66,14633,0,1
2011-01-28,6.70,6.70,6.39,6.39,10700,0,1
2011-01-31,6.45,6.61,6.42,6.53,12251,0,1
2011-02-01,6.58,6.94,6.58,6.83,16329,0,1
2011-02-02,6.89,6.97,6.56,6.62,8013,0,1
2011-02-03,6.61,6.71,6.46,6.62,6369,0,1
2011-02-04,6.62,6.62,6.39,6.39,9749,0,1
2011-02-07,6.44,6.71,6.39,6.66,7454,0,1
2011-02-08,6.61,7.01,6.61,6.91,7357,0,1
2011-02-09,6.88,6.99,6.55,6.58,8376,0,1
2011-02-10,6.56,6.86,6.48,6.75,8303,0,1
2011-02-11,6.78,7.01,6.70,6.94,7939,0,1
2011-02-14,6.94,7.15,6.86,7.10,8103,0,1
2011-02-15,7.09,7.19,6.89,6.89,7290,0,1
2011-02-16,6.94,7.07,6.94,6.98,6209,0,1
2011-02-17,7.08,7.11,6.91,6.98,3880,0,1
2011-02-18,6.96,7.17,6.94,7.16,4660,0,1
2011-02-21,7.15,7.15,7.01,7.05,2833,0,1
2011-02-22,6.99,6.99,6.74,6.74,9393,0,1
2011-02-23,6.77,6.79,6.49,6.64,7693,0,1
2011-02-24,6.64,6.77,6.62,6.71,4684,0,1
2011-02-25,6.70,6.79,6.65,6.76,5232,0,1
2011-02-28,6.86,6.91,6.80,6.89,3882,0,1
2011-03-01,6.90,7.00,6.71,6.71,8400,0,1
2011-03-02,6.70,6.97,6.70,6.79,5072,0,1
2011-03-03,6.88,6.90,6.75,6.78,4010,0,1
2011-03-04,6.75,6.87,6.73,6.83,3539,0,1
2011-03-09,6.80,6.92,6.72,6.79,5676,0,1
2011-03-10,6.75,6.93,6.71,6.91,6470,0,1
2011-03-11,6.94,7.21,6.86,7.05,8088,0,1
2011-03-14,6.98,7.25,6.89,7.22,3320,0,1
2011-03-15,7.06,7.24,7.01,7.16,5385,0,1
2011-03-16,7.18,7.40,7.18,7.27,6362,0,1
2011-03-17,7.35,7.38,7.18,7.26,4861,0,1
2011-03-18,7.25,7.48,7.19,7.32,6895,0,1
2011-03-21,7.42,7.44,7.32,7.32,3998,0,1
2011-03-22,7.31,7.45,7.27,7.43,5380,0,1
2011-03-23,7.37,7.44,7.16,7.16,8780,0,1
2011-03-24,7.22,7.23,7.10,7.15,3438,0,1
2011-03-25,7.18,7.29,7.11,7.20,2847,0,1
2011-03-28,7.26,7.28,7.10,7.12,1777,0,1
2011-03-29,7.12,7.31,7.07,7.14,5923,0,1
2011-03-30,7.20,7.28,7.17,7.20,4115,0,1
2011-03-31,7.22,7.30,7.16,7.16,5924,0,1
2011-04-01,7.24,7.46,7.18,7.45,5302,0,1
