date,open,high,low,close,volume,dividend,split
2011-01-19,8.86,8.93,8.52,8.55,3481,0,1
2011-01-20,8.62,8.70,8.46,8.46,2566,0,1
2011-01-21,8.57,8.58,8.30,8.36,2267,0,1
2011-01-24,8.39,8.39,8.27,8.31,2991,0,1
2011-01-26,8.36,8.46,7.85,7.92,4674,0,1
2011-01-27,7.97,8.09,7.56,7.66,7926,0,1
2011-01-28,7.70,7.87,7.47,7.68,4891,0,1
2011-01-31,7.71,7.84,7.48,7.68,3115,0,1
2011-02-01,7.81,8.19,7.74,8.19,10764,0,1
2011-02-02,8.14,8.31,7.63,7.79,9745,0,1
2011-02-03,7.83,7.97,7.68,7.87,4404,0,1
2011-02-04,7.87,7.88,7.40,7.46,6515,0,1
2011-02-07,7.58,7.61,7.25,7.43,2995,0,1
2011-02-08,7.38,7.60,7.33,7.48,8981,0,1
2011-02-09,7.42,7.49,7.09,7.19,7437,0,1
2011-02-10,7.15,7.28,6.99,6.99,4576,0,1
2011-02-11,7.04,7.31,7.03,7.30,10341,0,1
2011-02-14,7.30,7.51,7.22,7.42,5855,0,1
2011-02-15,7.40,7.59,7.36,7.46,6636,0,1
2011-02-16,7.53,7.55,7.34,7.39,5003,0,1
2011-02-17,7.44,7.44,7.18,7.19,5242,0,1
2011-02-18,7.18,7.54,7.15,7.52,5213,0,1
2011-02-21,7.45,7.45,7.30,7.35,2791,0,1
2011-02-22,7.24,7.27,7.07,7.09,5069,0,1
2011-02-23,7.15,7.29,7.04,7.20,4660,0,1
2011-02-24,7.16,7.52,7.08,7.49,5568,0,1
2011-02-25,7.57,7.68,7.47,7.60,6253,0,1
2011-02-28,7.68,7.71,7.04,7.19,14519,0,1
2011-03-01,7.19,7.24,7.04,7.07,9532,0,1
2011-03-02,7.06,7.30,7.00,7.28,4866,0,1
2011-03-03,7.31,7.41,7.21,7.27,3726,0,1
2011-03-04,7.27,7.33,7.20,7.30,2683,0,1
2011-03-09,7.20,7.29,7.00,7.00,3111,0,1
2011-03-10,6.94,7.29,6.92,7.19,3571,0,1
2011-03-11,7.19,7.41,7.04,7.34,3275,0,1
2011-03-14,7.24,7.34,7.09,7.34,2461,0,1
2011-03-15,7.12,7.42,7.06,7.37,4642,0,1
2011-03-16,7.42,7.70,7.36,7.54,7511,0,1
2011-03-17,7.66,7.73,7.49,7.49,3190,0,1
2011-03-18,7.58,7.82,7.58,7.71,4234,0,1
2011-03-21,7.82,7.84,7.43,7.44,4264,0,1
2011-03-22,7.48,7.76,7.37,7.73,3555,0,1
2011-03-23,7.67,7.71,7.57,7.68,2993,0,1
2011-03-24,7.46,7.49,7.18,7.18,11013,0,1
2011-03-25,7.15,7.31,7.10,7.19,6141,0,1
2011-03-28,7.19,7.27,7.06,7.10,2806,0,1
2011-03-29,7.13,7.16,6.94,6.97,4608,0,1
2011-03-30,7.02,7.06,6.93,7.02,3644,0,1
2011-03-31,7.05,7.13,7.03,7.11,4718,0,1
2011-04-01,7.16,7.35,7.14,7.35,5034,0,1
2011-04-04,7.35,7.42,7.24,7.32,3506,0,1
2011-04-05,7.29,7.55,7.17,7.52,6490,0,1
2011-04-06,7.53,7.65,7.28,7.30,4059,0,1
2011-04-07,7.36,7.42,7.23,7.35,2855,0,1
2011-04-08,7.37,7.42,7.27,7.38,3654,0,1
2011-04-11,7.39,7.54,7.30,7.42,4371,0,1
2011-04-12,7.35,7.38,7.15,7.22,5635,0,1
2011-04-13,7.33,7.39,7.19,7.33,2563,0,1
2011-04-14,7.30,7.33,7.16,7.16,3080,0,1
2011-04-15,7.20,7.24,7.06,7.16,2611,0,1
2011-04-18,7.13,7.23,7.01,7.16,2374,0,1
2011-04-19,7.23,7.37,7.17,7.37,2493,0,1
2011-04-20,7.45,7.58,7.35,7.51,4386,0,1
2011-04-25,7.43,7.60,7.38,7.46,3021,0,1
2011-04-26,7.44,7.68,7.40,7.68,2441,0,1
2011-04-27,7.68,7.73,7.57,7.58,2722,0,1
2011-04-28,7.47,7.61,7.27,7.38,2860,0,1
2011-04-29,7.36,7.57,7.30,7.41,4199,0,1
2011-05-02,7.43,7.64,7.36,7.54,3403,0,1
2011-05-03,7.46,7.55,7.33,7.43,2842,0,1
2011-05-04,7.50,7.55,7.05,7.07,3547,0,1
2011-05-05,7.07,7.21,6.77,6.87,5312,0,1
2011-05-06,7.07,7.31,7.05,7.24,4637,0,1
2011-05-09,7.26,7.57,7.21,7.57,3695,0,1
2011-05-10,7.57,7.95,7.49,7.90,5248,0,1
2011-05-11,7.73,7.89,7.54,7.67,3328,0,1
2011-05-12,7.59,7.99,7.53,7.99,3250,0,1
2011-05-13,8.01,8.33,8.01,8.21,7337,0,1
2011-05-16,8.14,8.39,7.87,7.90,3511,0,1
2011-05-17,7.94,8.08,7.71,8.08,2804,0,1
2011-05-18,8.11,8.21,7.84,7.85,3372,0,1
2011-05-19,7.92,8.03,7.31,7.39,4102,0,1
2011-05-20,7.43,7.81,7.23,7.70,3945,0,1
2011-05-23,7.59,7.90,7.48,7.78,2499,0,1
2011-05-24,7.84,8.09,7.76,8.09,2685,0,1
2011-05-25,8.05,8.34,7.99,8.21,3812,0,1
2011-05-26,8.21,8.25,7.92,8.06,4587,0,1
2011-05-27,8.08,8.28,8.02,8.09,3170,0,1
2011-05-30,8.07,8.22,8.01,8.01,802,0,1
2011-05-31,8.14,8.24,8.03,8.03,4884,0,1
2011-06-01,7.95,8.14,7.85,7.85,4793,0,1
2011-06-02,7.91,8.11,7.81,8.09,3428,0,1
2011-06-03,8.03,8.47,7.98,8.17,4657,0,1
2011-06-06,8.23,8.28,7.87,7.91,2887,0,1
2011-06-07,8.00,8.29,7.93,8.11,3793,0,1
2011-06-08,8.05,8.17,8.01,8.13,3018,0,1
2011-06-09,8.11,8.46,8.03,8.39,3380,0,1
2011-06-10,8.43,8.43,8.19,8.25,4571,0,1
2011-06-13,8.33,8.34,8.07,8.08,1835,0,1
2011-06-14,8.20,8.29,7.81,7.81,3525,0,1
