date,open,high,low,close,volume,dividend,split
2010-12-29,9.96,10.03,9.94,10.00,550,0,1
2010-12-30,10.00,10.43,10.00,10.18,1393,0,1
2011-01-03,10.35,10.35,10.02,10.03,665,0,1
2011-01-04,10.14,10.14,9.51,9.63,2038,0,1
2011-01-05,9.58,9.58,9.34,9.34,2652,0,1
2011-01-06,9.33,9.38,9.09,9.38,1316,0,1
2011-01-07,9.34,9.36,9.07,9.15,673,0,1
2011-01-10,9.15,9.30,9.05,9.23,619,0,1
2011-01-11,9.32,9.36,9.11,9.32,618,0,1
2011-01-12,9.38,9.50,9.23,9.38,993,0,1
2011-01-13,9.38,9.44,9.14,9.14,791,0,1
2011-01-14,9.19,9.22,8.99,9.05,1101,0,1
2011-01-17,9.05,9.25,9.00,9.25,296,0,1
2011-01-18,9.23,9.28,9.17,9.23,1021,0,1
2011-01-19,9.26,9.27,9.14,9.20,768,0,1
2011-01-20,9.23,9.29,9.04,9.13,897,0,1
2011-01-21,9.19,9.19,9.07,9.13,421,0,1
2011-01-24,9.23,9.26,9.03,9.03,567,0,1
2011-01-26,9.11,9.13,8.79,8.82,982,0,1
2011-01-27,8.87,8.87,8.56,8.69,1026,0,1
2011-01-28,8.63,8.68,8.38,8.68,821,0,1
2011-01-31,8.71,8.83,8.40,8.83,335,0,1
2011-02-01,8.94,8.94,8.69,8.83,708,0,1
2011-02-02,8.89,8.89,8.39,8.56,1403,0,1
2011-02-03,8.58,8.58,8.25,8.45,1268,0,1
2011-02-04,8.46,8.57,8.39,8.40,691,0,1
2011-02-07,8.51,8.63,8.42,8.56,972,0,1
2011-02-08,8.45,8.65,8.45,8.60,1521,0,1
2011-02-09,8.52,8.73,8.43,8.43,1083,0,1
2011-02-10,8.45,8.55,8.28,8.28,420,0,1
2011-02-11,8.37,8.46,8.24,8.42,1849,0,1
2011-02-14,8.54,8.81,8.41,8.80,1708,0,1
2011-02-15,8.81,9.00,8.71,8.72,1472,0,1
2011-02-16,8.81,8.92,8.65,8.65,780,0,1
2011-02-17,8.72,9.01,8.67,8.90,534,0,1
2011-02-18,8.99,9.27,8.80,9.11,1150,0,1
2011-02-21,9.10,9.24,8.79,8.82,978,0,1
2011-02-22,8.94,8.94,8.59,8.72,1112,0,1
2011-02-23,8.72,8.96,8.59,8.61,1047,0,1
2011-02-24,8.68,8.86,8.63,8.69,896,0,1
2011-02-25,8.83,8.93,8.70,8.83,482,0,1
2011-02-28,8.94,9.08,8.70,8.96,1163,0,1
2011-03-01,9.00,9.19,8.94,9.11,749,0,1
2011-03-02,9.04,9.38,9.04,9.38,587,0,1
2011-03-03,9.50,9.50,9.27,9.47,722,0,1
2011-03-04,9.38,9.48,9.28,9.46,434,0,1
2011-03-09,9.52,9.60,9.25,9.30,169,0,1
2011-03-10,9.20,9.44,9.18,9.34,450,0,1
2011-03-11,9.27,9.49,9.26,9.44,384,0,1
2011-03-14,9.50,9.78,9.44,9.66,785,0,1
2011-03-15,9.46,9.66,9.39,9.39,317,0,1
2011-03-16,9.49,9.55,9.34,9.34,301,0,1
2011-03-17,9.46,9.60,9.34,9.60,502,0,1
2011-03-18,9.61,9.63,9.50,9.55,211,0,1
2011-03-21,9.43,9.68,9.33,9.33,571,0,1
2011-03-22,9.45,9.49,9.21,9.41,827,0,1
2011-03-23,9.40,9.47,9.34,9.34,869,0,1
2011-03-24,9.42,9.42,9.14,9.32,670,0,1
2011-03-25,9.36,9.36,9.00,9.00,329,0,1
2011-03-28,9.08,9.21,9.02,9.11,792,0,1
2011-03-29,9.18,9.32,9.02,9.12,539,0,1
2011-03-30,9.17,9.27,8.88,9.27,1403,0,1
2011-03-31,9.25,9.31,9.09,9.31,1060,0,1
2011-04-01,9.29,9.30,9.09,9.22,1674,0,1
2011-04-04,9.20,9.28,9.04,9.07,531,0,1
2011-04-05,9.04,9.18,8.97,9.18,669,0,1
2011-04-06,9.20,9.21,9.03,9.08,618,0,1
2011-04-07,9.05,9.25,9.05,9.25,836,0,1
2011-04-08,9.23,9.47,9.16,9.38,608,0,1
2011-04-11,9.46,9.55,9.33,9.55,683,0,1
2011-04-12,9.52,9.52,9.32,9.38,319,0,1
2011-04-13,9.40,9.50,9.28,9.50,629,0,1
2011-04-14,9.48,9.48,9.25,9.46,316,0,1
2011-04-15,9.44,9.48,9.31,9.44,352,0,1
2011-04-18,9.39,9.40,9.20,9.38,305,0,1
2011-04-19,9.39,9.39,9.17,9.25,727,0,1
2011-04-20,9.33,9.50,9.31,9.49,579,0,1
2011-04-25,9.38,9.50,9.34,9.35,358,0,1
2011-04-26,9.36,9.37,9.19,9.27,979,0,1
2011-04-27,9.38,9.38,8.83,8.83,1056,0,1
2011-04-28,8.86,9.13,8.83,9.01,1127,0,1
2011-04-29,9.04,9.17,8.91,9.04,1205,0,1
2011-05-02,9.01,9.36,9.01,9.27,564,0,1
2011-05-03,9.25,9.49,9.20,9.38,619,0,1
2011-05-04,9.49,9.49,9.14,9.37,337,0,1
2011-05-05,9.49,9.52,9.17,9.36,337,0,1
2011-05-06,9.50,9.67,9.22,9.62,403,0,1
2011-05-09,9.54,9.57,9.27,9.33,553,0,1
2011-05-10,9.35,9.79,9.27,9.72,1125,0,1
2011-05-11,9.70,9.79,9.55,9.67,423,0,1
2011-05-12,9.75,9.75,9.51,9.61,543,0,1
2011-05-13,9.66,9.70,9.57,9.69,411,0,1
2011-05-16,9.71,9.71,9.56,9.61,346,0,1
2011-05-17,9.64,9.65,9.41,9.61,376,0,1
2011-05-18,9.61,9.74,9.55,9.62,480,0,1
2011-05-19,9.55,9.77,9.55,9.61,539,0,1
2011-05-20,9.58,9.91,9.58,9.83,772,0,1
2011-05-23,9.76,9.97,9.76,9.90,1268,0,1
2011-05-24,9.95,10.16,9.93,9.96,1093,0,1
2011-05-25,9.95,10.07,9.91,10.02,627,0,1
2011-05-26,10.04,10.12,9.88,10.03,733,0,1
2011-05-27,9.99,10.16,9.97,10.16,271,0,1
2011-05-30,10.09,10.33,10.03,10.30,371,0,1
2011-05-31,10.33,10.49,10.12,10.12,423,0,1
2011-06-01,10.12,10.26,9.97,9.97,382,0,1
2011-06-02,10.06,10.24,10.00,10.23,283,0,1
2011-06-03,10.12,10.34,10.08,10.28,556,0,1
2011-06-06,10.31,10.31,10.03,10.11,583,0,1
2011-06-07,10.16,10.29,9.98,10.25,609,0,1
2011-06-08,10.24,10.39,10.12,10.25,448,0,1
2011-06-09,10.25,10.40,10.05,10.32,956,0,1
2011-06-10,10.41,10.41,10.03,10.14,471,0,1
2011-06-13,10.17,10.38,10.07,10.16,321,0,1
2011-06-14,10.30,10.38,10.10,10.17,500,0,1
2011-06-15,10.17,10.25,10.03,10.06,617,0,1
2011-06-16,10.04,10.12,9.89,10.11,281,0,1
2011-06-17,10.14,10.16,9.82,10.16,987,0,1
2011-06-20,10.05,10.15,9.90,10.04,287,0,1
2011-06-21,10.03,10.03,9.89,9.90,417,0,1
2011-06-22,9.84,10.39,9.84,9.93,462,0,1
2011-06-24,9.95,10.10,9.76,9.97,1165,0,1
2011-06-27,9.95,10.10,9.63,9.76,1172,0,1
2011-06-28,9.82,9.94,9.73,9.92,2259,0,1
2011-06-29,9.93,9.99,9.71,9.75,603,0,1
2011-06-30,9.74,9.93,9.58,9.58,900,0,1
2011-07-01,9.72,9.79,9.59,9.69,379,0,1
2011-07-04,9.64,9.74,9.61,9.69,243,0,1
2011-07-05,9.69,9.75,9.59,9.61,543,0,1
2011-07-06,9.63,9.68,9.48,9.48,1547,0,1
2011-07-07,9.51,9.71,9.44,9.52,782,0,1
2011-07-08,9.54,9.54,9.33,9.38,1565,0,1
2011-07-11,9.36,9.44,9.20,9.27,1029,0,1
2011-07-12,9.24,9.55,9.18,9.27,809,0,1
2011-07-13,9.39,9.66,9.30,9.37,1024,0,1
2011-07-14,9.42,9.69,9.41,9.41,892,0,1
2011-07-15,9.44,9.54,9.33,9.35,318,0,1
2011-07-18,9.21,9.53,9.11,9.27,766,0,1
2011-07-19,9.32,9.48,9.32,9.36,510,0,1
2011-07-20,9.38,9.64,9.27,9.59,1079,0,1
2011-07-21,9.62,9.69,9.41,9.55,968,0,1
2011-07-22,9.58,9.72,9.22,9.22,770,0,1
2011-07-25,9.19,9.53,9.19,9.30,604,0,1
2011-07-26,9.35,9.53,9.28,9.48,674,0,1
2011-07-27,9.46,9.75,9.36,9.47,1056,0,1
2011-07-28,9.50,9.60,9.43,9.48,680,0,1
2011-07-29,9.54,9.58,9.41,9.41,1663,0,1
2011-08-01,9.48,9.68,9.48,9.60,1864,0,1
2011-08-02,9.66,9.66,9.28,9.34,884,0,1
2011-08-03,9.26,9.29,9.07,9.16,992,0,1
2011-08-04,9.14,9.25,8.57,8.63,1619,0,1
2011-08-05,8.70,8.78,8.43,8.46,918,0,1
2011-08-08,8.46,8.46,7.97,8.06,1201,0,1
2011-08-09,8.07,8.65,8.07,8.43,1785,0,1
2011-08-10,8.29,8.72,8.29,8.60,1181,0,1
2011-08-11,8.71,9.01,8.63,8.87,763,0,1
2011-08-12,8.88,9.01,8.65,8.68,934,0,1
2011-08-15,8.68,8.91,8.57,8.91,1314,0,1
2011-08-16,8.85,8.85,8.51,8.70,831,0,1
2011-08-17,8.72,8.77,8.57,8.63,997,0,1
2011-08-18,8.59,8.72,8.46,8.63,604,0,1
2011-08-19,8.55,8.68,8.37,8.63,647,0,1
2011-08-22,8.66,8.70,8.47,8.63,416,0,1
2011-08-23,8.63,8.67,8.43,8.63,1016,0,1
2011-08-24,8.65,8.75,8.52,8.64,643,0,1
2011-08-25,8.63,8.97,8.59,8.68,326,0,1
2011-08-26,8.66,9.06,8.66,8.82,860,0,1
2011-08-29,8.95,9.28,8.81,9.10,473,0,1
2011-08-30,9.19,9.38,8.93,9.21,653,0,1
2011-08-31,9.21,9.54,9.07,9.41,1259,0,1
2011-09-01,9.54,10.08,9.54,9.82,1037,0,1
2011-09-02,9.72,9.93,9.55,9.67,875,0,1
2011-09-05,9.44,9.83,9.44,9.66,306,0,1
2011-09-06,9.66,9.75,9.48,9.62,671,0,1
2011-09-08,9.77,10.06,9.74,9.95,733,0,1
2011-09-09,9.87,10.06,9.73,9.81,347,0,1
2011-09-12,9.75,9.97,9.70,9.97,525,0,1
2011-09-13,9.97,10.11,9.58,9.59,519,0,1
2011-09-14,9.61,9.68,9.38,9.43,1041,0,1
2011-09-15,9.44,9.66,9.39,9.39,536,0,1
2011-09-16,9.28,9.69,9.28,9.69,761,0,1
2011-09-19,9.69,9.77,9.26,9.41,1235,0,1
2011-09-20,9.40,9.71,9.33,9.67,2645,0,1
2011-09-21,9.66,9.86,9.47,9.61,549,0,1
2011-09-22,9.55,9.55,9.07,9.21,1053,0,1
2011-09-23,9.18,9.36,9.02,9.21,644,0,1
2011-09-26,9.18,9.61,9.09,9.33,798,0,1
2011-09-27,9.30,9.71,9.26,9.26,789,0,1
2011-09-28,9.28,9.67,9.23,9.34,461,0,1
2011-09-29,9.52,9.68,9.43,9.54,481,0,1
2011-09-30,9.53,9.94,9.32,9.79,1195,0,1
2011-10-03,9.77,9.86,9.42,9.72,870,0,1
2011-10-04,9.57,10.00,9.36,9.69,1623,0,1
2011-10-05,9.70,9.95,9.67,9.80,1325,0,1
2011-10-06,9.70,10.06,9.70,9.87,538,0,1
2011-10-07,9.92,10.03,9.77,9.77,539,0,1
2011-10-10,9.83,10.12,9.83,10.00,468,0,1
2011-10-11,10.07,10.22,9.82,9.93,580,0,1
2011-10-13,10.11,10.22,9.85,10.11,643,0,1
2011-10-14,10.11,10.25,10.11,10.12,506,0,1
2011-10-17,10.10,10.10,9.99,10.00,437,0,1
2011-10-18,10.06,10.07,9.82,9.90,967,0,1
2011-10-19,9.91,10.15,9.78,10.02,552,0,1
2011-10-20,10.06,10.11,9.80,9.83,584,0,1
2011-10-21,9.88,9.90,9.73,9.73,318,0,1
2011-10-24,9.70,9.83,9.69,9.79,788,0,1
2011-10-25,9.77,10.05,9.61,9.61,622,0,1
2011-10-26,9.70,9.90,9.66,9.70,498,0,1
2011-10-27,9.84,9.97,9.54,9.58,1200,0,1
2011-10-28,9.55,9.83,9.55,9.80,1154,0,1
2011-10-31,9.73,9.91,9.71,9.75,800,0,1
2011-11-01,9.61,9.72,9.31,9.55,1067,0,1
2011-11-03,9.50,9.90,9.50,9.83,1258,0,1
2011-11-04,9.73,9.83,9.58,9.75,765,0,1
2011-11-07,9.79,9.92,9.71,9.83,489,0,1
2011-11-08,9.86,10.17,9.72,9.83,580,0,1
2011-11-09,9.78,9.83,9.57,9.61,1339,0,1
2011-11-10,9.55,9.98,9.55,9.83,663,0,1
2011-11-11,9.85,10.06,9.85,10.03,720,0,1
2011-11-14,10.03,10.17,9.90,10.09,619,0,1
2011-11-16,10.05,10.37,10.04,10.18,1203,0,1
2011-11-17,10.18,10.18,9.84,9.90,936,0,1
2011-11-18,9.94,10.18,9.83,10.06,686,0,1
2011-11-21,10.06,10.14,9.77,10.00,1050,0,1
2011-11-22,10.00,10.27,9.93,10.19,827,0,1
2011-11-23,10.14,10.14,9.75,9.83,1018,0,1
2011-11-24,9.94,10.02,9.74,9.85,401,0,1
2011-11-25,9.86,10.04,9.78,9.94,532,0,1
2011-11-28,10.05,10.33,9.71,10.02,1097,0,1
2011-11-29,10.02,10.14,9.90,10.00,1261,0,1
2011-11-30,10.00,10.40,10.00,10.34,1357,0,1
2011-12-01,10.51,10.81,10.44,10.55,788,0,1
2011-12-02,10.65,10.79,10.46,10.59,522,0,1
2011-12-05,10.62,10.77,10.51,10.65,363,0,1
2011-12-06,10.56,10.97,10.44,10.85,585,0,1
2011-12-07,10.85,10.85,10.56,10.77,568,0,1
2011-12-08,10.68,10.97,10.61,10.85,708,0,1
2011-12-09,10.85,11.19,10.81,11.14,1096,0,1
2011-12-12,11.02,11.15,10.93,11.15,1112,0,1
2011-12-13,10.99,11.16,10.55,10.68,1811,0,1
2011-12-14,10.71,10.74,10.28,10.28,1340,0,1
2011-12-15,10.29,10.68,10.29,10.57,647,0,1
2011-12-16,10.57,10.70,10.42,10.42,550,0,1
2011-12-19,10.42,10.67,10.42,10.57,516,0,1
2011-12-20,10.71,10.71,10.36,10.45,771,0,1
2011-12-21,10.45,10.45,10.17,10.28,706,0,1
2011-12-22,10.20,10.29,9.83,10.10,955,0,1
2011-12-23,10.10,10.38,10.09,10.38,342,0,1
2011-12-26,10.52,10.52,10.31,10.33,83,0,1
2011-12-27,10.33,10.64,10.33,10.50,233,0,1
2011-12-28,10.56,10.63,10.34,10.59,389,0,1
2011-12-29,10.57,10.93,10.34,10.93,581,0,1
2012-01-02,10.79,11.10,10.78,11.10,248,0,1
2012-01-03,11.10,11.20,10.86,11.02,817,0,1
2012-01-04,11.09,11.09,10.68,10.71,535,0,1
2012-01-05,10.77,10.85,10.28,10.36,1148,0,1
2012-01-06,10.39,10.57,10.16,10.37,935,0,1
2012-01-09,10.37,10.42,10.17,10.37,1353,0,1
2012-01-10,10.32,10.42,10.31,10.34,657,0,1
2012-01-11,10.37,10.38,10.16,10.20,652,0,1
2012-01-12,10.24,10.28,10.18,10.24,883,0,1
2012-01-13,10.24,10.31,9.95,10.17,932,0,1
2012-01-16,10.25,10.54,10.10,10.36,523,0,1
2012-01-17,10.67,10.67,10.28,10.32,467,0,1
2012-01-18,10.35,10.35,10.09,10.31,1276,0,1
2012-01-19,10.31,10.42,10.31,10.42,673,0,1
2012-01-20,10.54,10.82,10.47,10.68,911,0,1
2012-01-23,10.73,11.02,10.64,10.95,1104,0,1
2012-01-24,10.95,11.10,10.66,11.08,592,0,1
2012-01-26,11.08,11.22,10.74,11.18,941,0,1
2012-01-27,11.18,11.24,11.14,11.20,719,0,1
2012-01-30,11.17,11.32,11.03,11.32,846,0,1
2012-01-31,11.32,11.50,11.29,11.42,2007,0,1
2012-02-01,11.40,11.59,11.40,11.48,1172,0,1
2012-02-02,11.48,12.05,11.44,11.91,1256,0,1
