date,open,high,low,close,volume,dividend,split
2010-05-13,13.72,14.03,13.72,13.98,1539,0,1
2010-05-14,13.78,14.09,13.74,14.05,1181,0,1
2010-05-17,13.90,14.59,13.90,14.51,2622,0,1
2010-05-18,14.58,14.64,14.16,14.22,2279,0,1
2010-05-19,14.22,14.44,14.05,14.05,1701,0,1
2010-05-20,13.97,14.15,13.68,13.87,1949,0,1
2010-05-21,13.94,14.13,13.71,13.71,1966,0,1
2010-05-24,13.67,13.67,13.50,13.57,1340,0,1
2010-05-25,13.53,13.80,13.41,13.61,1155,0,1
2010-05-26,13.81,13.81,13.35,13.62,2113,0,1
2010-05-27,13.61,13.83,13.51,13.64,1806,0,1
2010-05-28,13.66,13.98,13.58,13.94,2087,0,1
2010-05-31,13.96,14.07,13.83,14.01,541,0,1
2010-06-01,13.87,14.03,13.59,13.59,999,0,1
2010-06-02,13.48,13.59,13.36,13.48,848,0,1
2010-06-04,13.41,13.73,13.26,13.37,2037,0,1
2010-06-07,13.37,14.13,13.37,13.77,2431,0,1
2010-06-08,13.87,14.17,13.80,13.93,1129,0,1
2010-06-09,14.10,14.13,13.59,13.59,1768,0,1
2010-06-10,13.79,13.82,13.67,13.77,1896,0,1
2010-06-11,13.79,14.00,13.74,13.83,1503,0,1
2010-06-14,13.83,13.97,13.68,13.79,1159,0,1
2010-06-15,13.73,14.05,13.71,13.85,1021,0,1
2010-06-16,13.80,14.57,13.80,14.46,3946,0,1
2010-06-17,14.42,14.88,14.38,14.77,4353,0,1
2010-06-18,14.78,14.98,14.72,14.79,1693,0,1
2010-06-21,14.90,15.18,14.78,15.12,3698,0,1
2010-06-22,15.12,15.86,15.12,15.17,4252,0,1
2010-06-23,15.27,15.40,14.85,15.16,2098,0,1
2010-06-24,15.16,15.31,14.69,14.79,1528,0,1
2010-06-25,14.86,15.16,14.75,14.96,908,0,1
2010-06-28,15.11,15.23,14.98,15.15,1108,0,1
2010-06-29,15.01,15.12,14.75,14.79,3234,0,1
2010-06-30,14.94,15.03,14.72,14.79,2013,0,1
2010-07-01,14.78,14.86,14.46,14.66,1495,0,1
