date,open,high,low,close,volume,dividend,split
2009-03-26,28.81,28.81,28.81,28.81,0,0,1
2009-03-27,30.12,30.12,30.12,30.12,0,0,1
2009-03-30,30.12,30.12,30.12,30.12,0,0,1
2009-03-31,30.12,30.12,30.12,30.12,0,0,1
2009-04-01,30.12,30.12,30.12,30.12,0,0,1
2009-04-02,30.12,30.12,30.12,30.12,0,0,1
2009-04-03,30.12,30.12,30.12,30.12,0,0,1
2009-04-06,56.28,56.28,56.28,56.28,11,0,1
2009-04-07,56.28,56.28,56.28,56.28,11,0,1
2009-04-08,56.28,56.28,56.28,56.28,11,0,1
2009-04-09,56.28,56.28,56.28,56.28,11,0,1
2009-04-13,56.28,56.28,56.28,56.28,11,0,1
2009-04-14,56.28,56.28,56.28,56.28,11,0,1
2009-04-15,56.28,56.28,56.28,56.28,11,0,1
2009-04-16,56.28,56.28,56.28,56.28,11,0,1
2009-04-17,56.28,56.28,56.28,56.28,11,0,1
2009-04-20,56.28,56.28,56.28,56.28,11,0,1
2009-04-22,56.28,56.28,56.28,56.28,11,0,1
2009-04-23,56.28,56.28,56.28,56.28,11,0,1
2009-04-24,56.28,56.28,56.28,56.28,11,0,1
2009-04-27,56.28,56.28,56.28,56.28,11,0,1
2009-04-28,56.28,56.28,56.28,56.28,11,0,1
2009-04-29,56.28,56.28,56.28,56.28,11,0,1
2009-04-30,56.28,56.28,56.28,56.28,11,0,1
2009-05-04,56.28,56.28,56.28,56.28,11,0,1
2009-05-05,56.28,56.28,56.28,56.28,11,0,1
2009-05-06,56.28,56.28,56.28,56.28,11,0,1
2009-05-07,56.28,56.28,56.28,56.28,11,0,1
2009-05-08,56.28,56.28,56.28,56.28,11,0,1
2009-05-11,56.28,56.28,56.28,56.28,11,0,1
2009-05-12,56.28,56.28,56.28,56.28,11,0,1
2009-05-13,56.28,56.28,56.28,56.28,11,0,1
2009-05-14,56.28,56.28,56.28,56.28,11,0,1
2009-05-15,56.28,56.28,56.28,56.28,11,0,1
2009-05-18,56.28,56.28,56.28,56.28,11,0,1
2009-05-19,56.28,56.28,56.28,56.28,11,0,1
2009-05-20,56.28,56.28,56.28,56.28,11,0,1
2009-05-21,56.28,56.28,56.28,56.28,11,0,1
2009-05-22,56.28,56.28,56.28,56.28,11,0,1
2009-05-25,56.28,56.28,56.28,56.28,11,0,1
2009-05-26,56.28,56.28,56.28,56.28,11,0,1
2009-05-27,56.28,56.28,56.28,56.28,11,0,1
2009-05-28,56.28,56.28,56.28,56.28,11,0,1
2009-05-29,56.28,56.28,56.28,56.28,11,0,1
2009-06-01,56.28,56.28,56.28,56.28,11,0,1
2009-06-02,56.28,56.28,56.28,56.28,11,0,1
2009-06-03,56.28,56.28,56.28,56.28,11,0,1
2009-06-04,56.28,56.28,56.28,56.28,11,0,1
2009-06-05,56.28,56.28,56.28,56.28,11,0,1
2009-06-08,56.28,56.28,56.28,56.28,11,0,1
2009-06-09,56.28,56.28,56.28,56.28,11,0,1
2009-06-10,56.28,56.28,56.28,56.28,11,0,1
2009-06-12,56.28,56.28,56.28,56.28,11,0,1
2009-06-15,56.28,56.28,56.28,56.28,11,0,1
2009-06-16,56.28,56.28,56.28,56.28,11,0,1
2009-06-17,56.28,56.28,56.28,56.28,11,0,1
2009-06-18,56.28,56.28,56.28,56.28,11,0,1
2009-06-19,56.28,56.28,56.28,56.28,11,0,1
2009-06-22,56.28,56.28,56.28,56.28,11,0,1
2009-06-23,56.28,56.28,56.28,56.28,11,0,1
2009-06-24,56.28,56.28,56.28,56.28,11,0,1
2009-06-25,56.28,56.28,56.28,56.28,11,0,1
2009-06-26,56.28,56.28,56.28,56.28,11,0,1
2009-06-29,56.28,56.28,56.28,56.28,11,0,1
2009-06-30,56.28,56.28,56.28,56.28,11,0,1
2009-07-01,56.28,56.28,56.28,56.28,11,0,1
2009-07-02,56.28,56.28,56.28,56.28,11,0,1
2009-07-03,56.28,56.28,56.28,56.28,11,0,1
2009-07-06,56.28,56.28,56.28,56.28,11,0,1
2009-07-07,56.28,56.28,56.28,56.28,11,0,1
2009-07-08,56.28,56.28,56.28,56.28,11,0,1
2009-07-10,56.28,56.28,56.28,56.28,11,0,1
2009-07-13,56.28,56.28,56.28,56.28,11,0,1
2009-07-14,56.28,56.28,56.28,56.28,11,0,1
2009-07-15,56.28,56.28,56.28,56.28,11,0,1
2009-07-16,56.28,56.28,56.28,56.28,11,0,1
2009-07-17,56.28,56.28,56.28,56.28,11,0,1
2009-07-20,56.28,56.28,56.28,56.28,11,0,1
2009-07-21,56.28,56.28,56.28,56.28,11,0,1
2009-07-22,56.28,56.28,56.28,56.28,11,0,1
2009-07-23,56.28,56.28,56.28,56.28,11,0,1
2009-07-24,56.28,56.28,56.28,56.28,11,0,1
2009-07-27,56.28,56.28,56.28,56.28,11,0,1
2009-07-28,56.28,56.28,56.28,56.28,11,0,1
2009-07-29,56.28,56.28,56.28,56.28,11,0,1
2009-07-30,56.28,56.28,56.28,56.28,11,0,1
2009-07-31,56.28,56.28,56.28,56.28,11,0,1
2009-08-03,56.28,56.28,56.28,56.28,11,0,1
2009-08-04,56.28,56.28,56.28,56.28,11,0,1
2009-08-05,56.28,56.28,56.28,56.28,11,0,1
2009-08-06,56.28,56.28,56.28,56.28,11,0,1
2009-08-07,56.28,56.28,56.28,56.28,11,0,1
2009-08-10,56.28,56.28,56.28,56.28,11,0,1
2009-08-11,56.28,56.28,56.28,56.28,11,0,1
2009-08-12,56.28,56.28,56.28,56.28,11,0,1
2009-08-13,56.28,56.28,56.28,56.28,11,0,1
2009-08-14,56.28,56.28,56.28,56.28,11,0,1
2009-08-17,56.28,56.28,56.28,56.28,11,0,1
2009-08-18,56.28,56.28,56.28,56.28,11,0,1
2009-08-19,56.28,56.28,56.28,56.28,11,0,1
2009-08-20,56.28,56.28,56.28,56.28,11,0,1
2009-08-21,56.28,56.28,56.28,56.28,11,0,1
2009-08-24,56.28,56.28,56.28,56.28,11,0,1
2009-08-25,56.28,56.28,56.28,56.28,11,0,1
2009-08-26,56.28,56.28,56.28,56.28,11,0,1
2009-08-27,56.28,56.28,56.28,56.28,11,0,1
2009-08-28,56.28,56.28,56.28,56.28,11,0,1
2009-08-31,56.28,56.28,56.28,56.28,11,0,1
2009-09-01,56.28,56.28,56.28,56.28,11,0,1
2009-09-02,56.28,56.28,56.28,56.28,11,0,1
2009-09-03,56.28,56.28,56.28,56.28,11,0,1
2009-09-04,56.28,56.28,56.28,56.28,11,0,1
2009-09-08,56.28,56.28,56.28,56.28,11,0,1
2009-09-09,56.28,56.28,56.28,56.28,11,0,1
