date,open,high,low,close,volume,dividend,split
2010-02-01,26.36,26.52,26.06,26.37,15869,0,1
2010-02-02,26.53,26.65,26.18,26.22,15289,0,1
2010-02-03,26.18,26.28,25.93,26.17,16091,0,1
2010-02-04,26.02,26.09,24.69,24.83,24280,0,1
2010-02-05,24.45,24.81,23.62,24.23,29033,0,1
2010-02-08,24.45,24.80,24.16,24.40,18684,0,1
2010-02-09,24.75,25.12,24.68,24.79,18104,0,1
2010-02-10,24.85,25.16,24.42,25.09,21910,0,1
2010-02-11,25.29,25.73,25.16,25.65,24109,0,1
2010-02-12,25.37,26.15,25.33,25.98,19333,0,1
2010-02-17,26.44,26.52,26.16,26.33,16625,0,1
2010-02-18,26.32,26.67,26.00,26.67,17017,0,1
2010-02-19,26.46,26.64,26.26,26.41,11889,0,1
2010-02-22,26.52,26.82,26.45,26.64,19817,0,1
2010-02-23,26.45,26.64,26.14,26.28,16937,0,1
2010-02-24,26.36,26.41,25.86,26.09,13561,0,1
2010-02-25,25.74,26.52,25.57,26.43,18650,0,1
2010-02-26,26.59,26.72,26.30,26.61,17804,0,1
2010-03-01,26.77,26.95,26.46,26.85,16959,0,1
2010-03-02,27.10,27.31,27.00,27.00,17109,0,1
2010-03-03,27.12,27.54,26.95,27.02,20134,0,1
2010-03-04,27.21,27.28,26.76,27.06,14068,0,1
2010-03-05,27.44,27.61,27.21,27.53,28235,0,1
2010-03-08,27.63,27.67,27.22,27.45,15903,0,1
2010-03-09,27.29,28.33,27.26,28.06,68696,0,1
2010-03-10,28.35,28.57,28.18,28.45,32199,0,1
2010-03-11,28.39,28.81,28.30,28.48,19449,0,1
2010-03-12,28.60,28.76,28.49,28.49,13940,0,1
2010-03-15,28.26,28.62,28.04,28.27,19844,0,1
2010-03-16,28.39,28.61,28.21,28.61,12807,0,1
2010-03-17,28.78,28.81,28.39,28.56,10306,0,1
2010-03-18,28.55,28.75,28.26,28.46,12061,0,1
2010-03-19,28.45,28.51,27.80,27.85,24306,0,1
2010-03-22,27.38,27.95,27.29,27.86,13489,0,1
2010-03-23,27.97,28.00,27.45,27.54,17207,0,1
2010-03-24,27.52,28.11,27.37,27.75,19783,0,1
2010-03-25,27.93,28.01,27.06,27.06,17698,0,1
2010-03-26,27.22,27.33,26.37,26.52,28820,0,1
2010-03-29,26.71,27.06,26.23,26.83,19312,0,1
2010-03-30,26.98,27.14,26.72,26.75,12365,0,1
2010-03-31,26.60,27.21,26.53,27.21,16551,0,1
2010-04-01,27.41,27.60,27.33,27.48,13721,0,1
2010-04-05,27.64,27.87,27.54,27.68,12120,0,1
2010-04-06,27.61,27.99,27.55,27.74,13416,0,1
2010-04-07,27.63,27.86,27.36,27.52,15082,0,1
2010-04-08,27.35,27.60,27.26,27.53,13552,0,1
2010-04-09,27.52,27.75,27.08,27.08,17017,0,1
2010-04-12,27.10,27.24,26.35,26.44,29883,0,1
2010-04-13,26.50,26.59,26.06,26.28,19661,0,1
2010-04-14,26.37,26.52,26.18,26.33,17377,0,1
2010-04-15,26.35,26.48,25.79,25.83,43410,0,1
2010-04-16,25.75,25.82,25.15,25.33,48889,0,1
2010-04-19,25.06,25.79,24.99,25.79,24002,0,1
2010-04-20,25.98,26.37,25.98,26.37,22158,0,1
2010-04-22,26.06,26.17,25.69,26.03,19892,0,1
2010-04-23,26.01,26.34,25.99,26.34,12312,0,1
2010-04-26,26.42,26.48,25.81,25.81,13824,0,1
2010-04-27,25.62,25.64,24.87,24.87,23019,0,1
2010-04-28,25.04,25.57,24.71,25.09,17380,0,1
2010-04-29,25.44,25.64,25.19,25.58,11932,0,1
2010-04-30,25.42,25.72,25.23,25.41,15687,0,1
2010-05-03,25.22,25.28,24.37,24.40,28849,0,1
2010-05-04,24.17,24.23,23.17,23.58,39270,0,1
2010-05-05,23.24,23.87,23.06,23.41,29471,0,1
2010-05-06,23.31,23.85,21.93,23.10,32017,0,1
2010-05-07,23.23,23.48,22.58,23.05,24452,0,1
2010-05-10,24.02,24.09,23.36,23.36,20923,0,1
2010-05-11,23.10,23.46,22.93,22.95,17078,0,1
2010-05-12,23.20,23.24,22.99,23.17,15380,0,1
2010-05-13,23.40,23.56,23.20,23.24,16117,0,1
2010-05-14,23.08,23.32,22.71,23.31,24270,0,1
2010-05-17,23.40,23.54,22.90,23.13,26530,0,1
2010-05-18,23.34,23.35,22.60,22.64,17679,0,1
2010-05-19,22.40,22.83,22.12,22.12,24902,0,1
2010-05-20,21.69,21.77,21.25,21.25,25605,0,1
2010-05-21,21.29,21.73,21.02,21.37,28529,0,1
2010-05-24,21.38,21.68,21.15,21.19,14996,0,1
2010-05-25,20.53,20.85,20.29,20.72,24228,0,1
2010-05-26,21.09,21.40,20.78,21.11,20487,0,1
2010-05-27,21.46,21.79,21.38,21.70,18332,0,1
2010-05-28,21.74,22.01,21.59,22.01,20301,0,1
2010-05-31,22.02,23.10,22.02,23.10,14270,0,1
2010-06-01,22.63,23.17,22.23,22.36,25987,0,1
2010-06-02,22.35,22.91,22.35,22.71,13859,0,1
2010-06-04,22.53,23.16,22.44,22.83,15177,0,1
2010-06-07,22.98,23.48,22.89,23.04,16452,0,1
2010-06-08,23.23,23.44,22.98,23.15,16120,0,1
2010-06-09,23.34,23.71,23.06,23.06,20135,0,1
2010-06-10,23.41,23.61,23.23,23.34,17889,0,1
