date,open,high,low,close,volume,dividend,split
2011-01-07,9.84,9.86,9.64,9.64,330,0,1
2011-01-10,9.64,9.89,9.59,9.84,303,0,1
2011-01-11,9.88,10.18,9.88,9.98,695,0,1
2011-01-12,10.01,10.05,9.88,10.01,487,0,1
2011-01-13,10.06,10.06,9.86,9.88,347,0,1
2011-01-14,9.88,9.88,9.76,9.88,208,0,1
2011-01-17,9.86,9.96,9.82,9.90,56,0,1
2011-01-18,9.93,10.00,9.80,9.91,494,0,1
2011-01-19,9.96,9.96,9.74,9.81,747,0,1
2011-01-20,9.80,9.84,9.61,9.66,210,0,1
2011-01-21,9.71,9.72,9.54,9.62,343,0,1
2011-01-24,9.62,9.68,9.44,9.59,385,0,1
2011-01-26,9.55,9.71,9.51,9.59,353,0,1
2011-01-27,9.68,9.75,9.35,9.49,407,0,1
2011-01-28,9.54,9.64,9.20,9.30,540,0,1
2011-01-31,9.38,9.43,8.98,9.01,583,0,1
2011-02-01,9.44,9.44,9.08,9.37,369,0,1
2011-02-02,9.28,9.39,9.16,9.30,321,0,1
2011-02-03,9.30,9.30,9.02,9.10,323,0,1
2011-02-04,8.98,9.08,8.81,8.81,323,0,1
2011-02-07,8.94,8.95,8.66,8.66,435,0,1
2011-02-08,8.53,8.78,8.51,8.69,1043,0,1
2011-02-09,8.60,8.63,8.25,8.44,1057,0,1
2011-02-10,8.46,8.64,8.36,8.47,1505,0,1
2011-02-11,8.47,8.62,8.20,8.59,2165,0,1
2011-02-14,8.52,8.89,8.52,8.81,688,0,1
2011-02-15,8.80,8.98,8.67,8.98,708,0,1
2011-02-16,8.98,9.25,8.89,9.06,837,0,1
2011-02-17,9.06,9.15,9.00,9.08,443,0,1
2011-02-18,9.08,9.43,9.08,9.43,882,0,1
2011-02-21,9.47,9.80,9.44,9.58,1017,0,1
2011-02-22,9.58,9.76,9.37,9.54,1231,0,1
2011-02-23,9.54,9.57,9.24,9.25,457,0,1
2011-02-24,9.29,9.54,9.05,9.53,897,0,1
2011-02-25,9.59,9.68,9.17,9.17,688,0,1
2011-02-28,9.15,9.48,9.15,9.32,1115,0,1
2011-03-01,9.39,9.39,9.17,9.35,292,0,1
2011-03-02,9.36,9.41,9.20,9.32,737,0,1
2011-03-03,9.43,9.66,9.25,9.66,435,0,1
2011-03-04,9.64,9.64,9.22,9.49,522,0,1
2011-03-09,9.47,9.78,9.39,9.66,892,0,1
2011-03-10,9.61,9.62,9.28,9.37,339,0,1
2011-03-11,9.31,9.59,9.30,9.59,354,0,1
2011-03-14,9.50,9.59,9.22,9.59,600,0,1
2011-03-15,9.30,9.47,9.22,9.22,631,0,1
