date,open,high,low,close,volume,dividend,split
2009-10-09,11.47,11.47,11.14,11.14,1836,0,1
2009-10-13,11.21,11.40,10.97,11.39,3191,0,1
2009-10-14,11.47,11.62,11.28,11.33,1443,0,1
2009-10-15,11.28,11.50,11.18,11.39,976,0,1
2009-10-16,11.21,11.62,11.21,11.62,801,0,1
2009-10-19,11.58,11.78,11.51,11.72,735,0,1
2009-10-20,11.34,11.49,11.12,11.40,907,0,1
2009-10-21,11.43,11.43,11.15,11.18,1359,0,1
2009-10-22,11.34,11.46,11.15,11.27,549,0,1
2009-10-23,11.40,11.43,10.97,10.99,963,0,1
2009-10-26,11.09,11.19,10.58,10.58,798,0,1
2009-10-27,10.70,10.70,9.97,9.97,2220,0,1
2009-10-28,9.98,9.98,9.44,9.44,1268,0,1
2009-10-29,9.66,10.04,9.63,9.95,733,0,1
2009-10-30,10.03,10.35,9.36,9.72,1538,0,1
2009-11-03,9.57,9.69,9.34,9.46,1320,0,1
2009-11-04,9.73,10.02,9.55,9.87,1314,0,1
2009-11-05,9.97,10.07,9.81,10.00,870,0,1
2009-11-06,10.16,10.21,9.88,10.15,1034,0,1
2009-11-09,10.39,10.39,10.23,10.31,961,0,1
2009-11-10,10.41,10.56,10.30,10.47,1781,0,1
2009-11-11,10.54,10.63,10.37,10.53,1139,0,1
2009-11-12,10.63,10.63,10.14,10.21,994,0,1
2009-11-13,10.19,10.51,10.09,10.40,809,0,1
2009-11-16,10.45,10.70,10.33,10.63,1081,0,1
2009-11-17,10.58,10.79,10.52,10.60,1758,0,1
2009-11-18,10.72,10.79,10.42,10.44,882,0,1
2009-11-19,10.40,10.47,9.94,10.34,1535,0,1
2009-11-23,10.47,10.54,10.30,10.44,1161,0,1
2009-11-24,10.44,10.65,10.30,10.60,1084,0,1
2009-11-25,10.85,11.40,10.73,11.36,3570,0,1
2009-11-26,11.15,11.40,11.00,11.16,920,0,1
2009-11-27,11.05,11.46,10.87,11.30,671,0,1
2009-11-30,11.44,11.90,11.30,11.90,2853,0,1
2009-12-01,11.81,11.99,11.64,11.81,1729,0,1
2009-12-02,11.85,11.96,11.59,11.65,490,0,1
