date,open,high,low,close,volume,dividend,split
2010-04-26,2.17,2.19,2.16,2.19,45,0,1
2010-04-27,2.29,2.29,2.21,2.23,12,0,1
2010-04-28,2.23,2.27,2.22,2.27,76,0,1
2010-04-29,2.29,2.31,2.29,2.31,23,0,1
2010-04-30,2.22,2.44,2.18,2.44,165,0,1
2010-05-03,2.44,2.44,2.40,2.44,1068,0,1
2010-05-04,2.37,2.44,2.34,2.40,41,0,1
2010-05-05,2.40,2.40,2.35,2.40,22,0,1
2010-05-06,2.37,2.40,2.30,2.35,616,0,1
2010-05-07,2.29,2.33,2.26,2.33,254,0,1
2010-05-10,2.36,2.39,2.33,2.33,25,0,1
2010-05-11,2.33,2.37,2.24,2.26,199,0,1
2010-05-12,2.26,2.29,2.24,2.29,96,0,1
2010-05-13,2.27,2.29,2.26,2.29,75,0,1
2010-05-14,2.33,2.33,2.12,2.26,658,0,1
2010-05-17,2.22,2.22,2.15,2.22,85,0,1
2010-05-18,2.18,2.19,2.18,2.19,3,0,1
2010-05-19,2.19,2.22,2.13,2.16,59,0,1
2010-05-20,2.13,2.18,2.07,2.12,86,0,1
2010-05-21,2.07,2.31,2.07,2.29,16,0,1
2010-05-24,2.29,2.29,2.26,2.29,45,0,1
2010-05-25,2.29,2.33,2.25,2.25,13,0,1
2010-05-26,2.26,2.29,2.26,2.29,7,0,1
2010-05-27,2.29,2.29,2.29,2.29,21,0,1
2010-05-28,2.29,2.29,2.29,2.29,21,0,1
2010-05-31,2.26,2.33,2.26,2.33,41,0,1
2010-06-01,2.31,2.31,2.22,2.22,219,0,1
2010-06-02,2.27,2.27,2.22,2.27,22,0,1
2010-06-04,2.26,2.26,2.26,2.26,3,0,1
2010-06-07,2.22,2.22,2.20,2.20,42,0,1
2010-06-08,2.16,2.22,2.11,2.22,147,0,1
2010-06-09,2.25,2.29,2.25,2.29,186,0,1
2010-06-10,2.29,2.33,2.19,2.19,100,0,1
2010-06-11,2.29,2.33,2.19,2.19,100,0,1
2010-06-14,2.18,2.23,2.18,2.22,32,0,1
2010-06-15,2.24,2.24,2.22,2.24,3,0,1
2010-06-16,2.23,2.29,2.23,2.29,8,0,1
2010-06-17,2.26,2.26,2.22,2.22,14,0,1
2010-06-18,2.27,2.27,2.26,2.26,1,0,1
2010-06-21,2.27,2.29,2.16,2.27,15,0,1
2010-06-22,2.27,2.29,2.16,2.27,15,0,1
2010-06-23,2.22,2.24,2.20,2.22,31,0,1
2010-06-24,2.20,2.22,2.18,2.22,102,0,1
2010-06-25,2.22,2.22,2.22,2.22,4,0,1
2010-06-28,2.18,2.18,2.16,2.16,554,0,1
2010-06-29,2.16,2.18,2.03,2.18,1536,0,1
2010-06-30,2.16,2.18,2.09,2.18,54,0,1
2010-07-01,2.11,2.13,2.09,2.13,73,0,1
2010-07-02,2.11,2.13,2.11,2.13,11,0,1
2010-07-05,2.11,2.11,2.11,2.11,146,0,1
2010-07-06,2.11,2.17,2.09,2.11,23,0,1
2010-07-07,2.11,2.20,2.11,2.20,300,0,1
2010-07-08,2.14,2.20,2.14,2.18,54,0,1
2010-07-12,2.22,2.25,2.22,2.25,5,0,1
2010-07-13,2.25,2.26,2.24,2.26,55,0,1
2010-07-14,2.22,2.26,2.22,2.26,25,0,1
2010-07-15,2.25,2.25,2.18,2.22,770,0,1
2010-07-16,2.19,2.23,2.16,2.19,38,0,1
2010-07-19,2.16,2.21,2.16,2.19,118,0,1
2010-07-20,2.20,2.26,2.20,2.22,64,0,1
2010-07-21,2.21,2.27,2.19,2.27,162,0,1
2010-07-22,2.26,2.37,2.26,2.37,125,0,1
2010-07-23,2.30,2.38,2.26,2.26,156,0,1
2010-07-26,2.27,2.36,2.26,2.32,169,0,1
2010-07-27,2.35,2.36,2.30,2.30,15,0,1
2010-07-28,2.35,2.35,2.30,2.33,16,0,1
2010-07-29,2.33,2.36,2.26,2.35,293,0,1
2010-07-30,2.38,2.38,2.31,2.38,7,0,1
2010-08-02,2.38,2.40,2.38,2.40,3,0,1
2010-08-03,2.37,2.40,2.37,2.40,0,0,1
2010-08-04,2.33,2.40,2.33,2.40,6,0,1
2010-08-05,2.40,2.40,2.40,2.40,1,0,1
2010-08-06,2.40,2.40,2.40,2.40,7,0,1
2010-08-09,2.37,2.37,2.35,2.37,27,0,1
2010-08-10,2.33,2.36,2.31,2.36,10,0,1
2010-08-11,2.33,2.35,2.32,2.33,27,0,1
2010-08-12,2.33,2.33,2.29,2.31,37,0,1
2010-08-13,2.29,2.31,2.29,2.31,110,0,1
2010-08-16,2.31,2.33,2.31,2.33,13,0,1
2010-08-17,2.29,2.33,2.29,2.29,34,0,1
2010-08-18,2.29,2.30,2.28,2.29,78,0,1
2010-08-19,2.29,2.32,2.29,2.29,59,0,1
2010-08-20,2.29,2.29,2.27,2.29,69,0,1
2010-08-23,2.29,2.32,2.29,2.29,131,0,1
2010-08-24,2.31,2.31,2.25,2.27,40,0,1
2010-08-25,2.26,2.26,2.24,2.26,21,0,1
2010-08-26,2.23,2.31,2.23,2.31,40,0,1
2010-08-27,2.31,2.48,2.31,2.48,148,0,1
