date,open,high,low,close,volume,dividend,split
2010-11-25,36.77,37.00,36.58,36.58,858,0,1
2010-11-26,36.30,36.45,36.00,36.03,2189,0,1
2010-11-29,35.93,36.30,35.61,36.11,3583,0,1
2010-11-30,36.03,36.37,35.65,35.67,4513,0,1
2010-12-01,36.32,36.97,36.21,36.83,2625,0,1
2010-12-02,36.93,37.56,36.77,37.23,2661,0,1
2010-12-03,37.20,37.76,37.10,37.70,2356,0,1
2010-12-06,37.69,37.99,37.66,37.86,1424,0,1
2010-12-07,38.23,38.38,37.78,37.78,1996,0,1
2010-12-08,37.59,37.73,36.94,36.94,3029,0,1
2010-12-09,37.01,37.56,37.01,37.35,2351,0,1
2010-12-10,37.62,37.84,37.36,37.81,2136,0,1
2010-12-13,38.06,38.92,37.96,38.76,2826,0,1
2010-12-14,38.60,38.93,38.34,38.42,1950,0,1
2010-12-15,38.22,38.33,37.83,37.83,2473,0,1
2010-12-16,37.96,38.23,37.68,37.80,2226,0,1
2010-12-17,37.88,38.03,37.57,37.90,2921,0,1
2010-12-20,38.15,38.16,37.63,37.63,2207,0,1
2010-12-21,37.86,38.33,37.83,38.09,2562,0,1
2010-12-22,38.07,38.12,37.76,37.98,1659,0,1
2010-12-23,38.01,38.13,37.86,37.86,1456,0,1
2010-12-27,37.80,37.80,36.79,36.79,3026,0,1
2010-12-28,36.91,36.97,36.33,36.46,2335,0,1
2010-12-29,36.63,36.90,36.49,36.71,2680,0,1
2010-12-30,36.91,37.31,36.71,36.85,3486,0,1
2011-01-03,37.50,38.29,37.32,37.94,5107,0,1
2011-01-04,38.30,38.80,38.28,38.73,4104,0,1
2011-01-05,38.44,39.48,38.43,39.43,3288,0,1
2011-01-06,39.40,39.66,38.92,38.92,2985,0,1
2011-01-07,38.99,39.10,38.31,38.63,2775,0,1
2011-01-10,38.38,38.92,38.26,38.56,2833,0,1
2011-01-11,38.92,39.30,38.86,38.96,2793,0,1
2011-01-12,39.34,40.10,39.30,40.04,4895,0,1
2011-01-13,40.07,40.46,39.76,39.76,3285,0,1
2011-01-14,39.63,40.08,39.45,39.94,2793,0,1
2011-01-17,39.84,40.49,39.68,40.29,1496,0,1
2011-01-18,40.49,41.00,40.23,40.80,2545,0,1
2011-01-19,40.86,40.94,39.91,39.91,2695,0,1
2011-01-20,39.74,39.91,38.85,39.24,4423,0,1
2011-01-21,39.68,40.01,39.26,39.51,1920,0,1
2011-01-24,39.64,40.05,39.31,39.78,1766,0,1
2011-01-26,39.61,39.91,39.46,39.74,2714,0,1
2011-01-27,39.89,39.92,39.23,39.35,2259,0,1
2011-01-28,39.28,39.28,37.75,38.22,3728,0,1
2011-01-31,38.32,38.59,38.08,38.22,2203,0,1
2011-02-01,38.67,39.32,38.47,39.17,2211,0,1
2011-02-02,39.17,39.51,38.26,38.44,2477,0,1
2011-02-03,38.27,38.72,38.01,38.35,1993,0,1
2011-02-04,38.28,38.59,37.43,37.73,2382,0,1
2011-02-07,38.14,38.30,37.55,38.01,2316,0,1
2011-02-08,37.78,38.10,37.52,37.71,2976,0,1
2011-02-09,37.45,37.84,36.52,36.56,2171,0,1
2011-02-10,36.44,37.42,36.44,37.04,3693,0,1
2011-02-11,37.09,37.82,36.91,37.80,3476,0,1
2011-02-14,37.80,38.77,37.80,38.54,2407,0,1
2011-02-15,38.42,38.77,38.16,38.41,2428,0,1
2011-02-16,38.45,38.97,38.34,38.78,2907,0,1
2011-02-17,38.96,39.03,38.49,38.83,2943,0,1
2011-02-18,38.63,38.85,38.25,38.44,2280,0,1
2011-02-21,38.26,38.26,37.53,37.57,775,0,1
2011-02-22,37.45,37.90,36.73,36.82,4495,0,1
2011-02-23,36.98,37.58,36.56,37.50,3257,0,1
2011-02-24,37.49,37.84,36.91,37.17,3534,0,1
2011-02-25,38.10,38.24,37.29,37.30,2695,0,1
2011-02-28,37.46,37.73,37.29,37.70,2654,0,1
2011-03-01,37.74,37.84,36.91,36.99,2473,0,1
2011-03-02,36.83,37.66,36.71,37.62,2390,0,1
2011-03-03,37.90,37.99,37.68,37.90,2093,0,1
2011-03-04,37.74,37.86,37.00,37.27,2749,0,1
2011-03-09,36.22,36.83,35.83,35.91,2628,0,1
2011-03-10,35.47,35.47,34.64,34.89,5862,0,1
2011-03-11,34.76,35.44,34.47,35.37,3897,0,1
2011-03-14,35.10,35.49,34.75,35.49,2864,0,1
2011-03-15,34.29,35.00,33.97,34.86,4634,0,1
2011-03-16,35.12,35.14,33.88,33.99,4272,0,1
2011-03-17,34.52,35.06,34.36,34.95,5078,0,1
2011-03-18,35.20,35.67,35.12,35.41,3065,0,1
2011-03-21,35.93,36.02,35.43,35.49,2107,0,1
2011-03-22,35.38,35.41,34.86,35.29,3153,0,1
2011-03-23,35.29,35.95,35.29,35.82,2787,0,1
2011-03-24,35.93,35.93,35.09,35.39,3479,0,1
2011-03-25,35.49,35.72,34.93,35.40,2177,0,1
2011-03-28,35.10,35.59,35.04,35.16,1970,0,1
2011-03-29,35.26,36.09,35.21,35.89,2643,0,1
2011-03-30,35.68,36.06,35.32,35.43,4862,0,1
2011-03-31,35.49,35.84,34.98,35.73,3926,0,1
2011-04-01,35.66,35.99,35.36,35.50,1916,0,1
2011-04-04,35.79,36.26,35.24,36.26,4200,0,1
2011-04-05,35.99,36.70,35.99,36.43,4676,0,1
2011-04-06,36.55,36.63,35.77,35.86,4522,0,1
2011-04-07,35.86,35.92,35.29,35.57,3407,0,1
2011-04-08,35.75,35.75,35.24,35.49,2722,0,1
2011-04-11,35.67,35.87,35.36,35.54,2679,0,1
2011-04-12,35.17,35.23,34.67,34.82,2915,0,1
2011-04-13,35.06,35.08,34.23,34.32,3692,0,1
2011-04-14,34.37,34.88,34.24,34.75,3970,0,1
2011-04-15,34.90,34.95,34.39,34.67,2343,0,1
2011-04-18,34.46,34.54,33.89,34.32,2222,0,1
2011-04-19,34.52,34.71,34.29,34.63,2737,0,1
2011-04-20,35.33,35.33,35.05,35.26,2879,0,1
2011-04-25,35.28,35.61,34.90,35.61,3007,0,1
2011-04-26,35.57,35.68,35.40,35.63,3452,0,1
2011-04-27,35.58,35.64,34.84,35.17,3603,0,1
2011-04-28,34.87,35.20,34.75,34.90,3962,0,1
2011-04-29,34.97,35.26,34.56,35.10,3882,0,1
2011-05-02,35.12,35.21,34.38,34.71,4291,0,1
2011-05-03,34.56,34.56,33.83,33.92,2769,0,1
2011-05-04,34.07,34.09,33.23,33.29,5822,0,1
2011-05-05,33.11,33.86,33.05,33.71,5286,0,1
2011-05-06,33.97,34.13,33.46,33.72,3748,0,1
2011-05-09,33.76,33.98,33.43,33.85,2737,0,1
2011-05-10,33.95,34.06,33.63,33.77,2484,0,1
2011-05-11,33.63,33.68,32.69,32.77,3430,0,1
2011-05-12,32.51,33.11,32.14,32.84,2975,0,1
2011-05-13,32.67,32.92,32.12,32.30,2396,0,1
2011-05-16,32.06,32.81,31.99,32.17,3115,0,1
2011-05-17,32.10,32.58,31.90,32.50,1990,0,1
2011-05-18,32.61,32.96,32.47,32.61,2928,0,1
2011-05-19,32.99,33.24,32.84,32.90,2825,0,1
2011-05-20,33.09,33.34,32.70,33.04,4131,0,1
2011-05-23,32.44,33.01,32.40,33.01,1939,0,1
2011-05-24,33.14,33.42,33.06,33.32,1952,0,1
2011-05-25,33.25,33.55,33.17,33.40,2141,0,1
2011-05-26,33.21,33.92,33.21,33.92,2815,0,1
2011-05-27,34.07,34.35,33.92,34.12,3257,0,1
2011-05-30,34.43,34.43,33.95,33.98,673,0,1
2011-05-31,34.35,34.35,33.73,34.06,4042,0,1
2011-06-01,33.89,34.12,33.59,33.73,3218,0,1
2011-06-02,33.74,33.95,33.39,33.78,4069,0,1
2011-06-03,33.54,33.78,33.32,33.50,5049,0,1
2011-06-06,33.50,33.56,33.11,33.24,2078,0,1
2011-06-07,33.48,33.54,33.11,33.18,3341,0,1
2011-06-08,32.93,33.21,32.89,33.21,2188,0,1
2011-06-09,33.24,33.61,33.07,33.57,1943,0,1
2011-06-10,33.49,33.49,33.03,33.20,2065,0,1
2011-06-13,33.13,33.20,32.50,32.59,3338,0,1
2011-06-14,32.77,32.86,32.50,32.75,4334,0,1
2011-06-15,32.44,32.53,32.16,32.53,4116,0,1
2011-06-16,32.53,32.63,31.88,32.16,3235,0,1
2011-06-17,32.35,32.40,31.77,32.00,3107,0,1
2011-06-20,31.83,32.59,31.83,32.50,2337,0,1
2011-06-21,32.63,33.03,32.63,32.80,2845,0,1
2011-06-22,32.67,33.24,32.59,32.90,3192,0,1
2011-06-24,33.01,33.21,32.89,33.13,2098,0,1
2011-06-27,33.01,33.17,32.73,32.88,3447,0,1
2011-06-28,33.01,33.28,32.94,33.28,2681,0,1
2011-06-29,33.41,33.45,33.11,33.30,3372,0,1
2011-06-30,33.38,33.62,33.30,33.54,3518,0,1
2011-07-01,33.99,35.05,33.93,35.03,6465,0,1
2011-07-04,34.90,35.56,34.80,35.48,1438,0,1
2011-07-05,35.28,35.34,34.71,34.77,3852,0,1
2011-07-06,34.59,34.79,34.37,34.65,2059,0,1
2011-07-07,34.96,35.11,34.84,34.87,3439,0,1
2011-07-08,34.60,34.78,34.46,34.63,3487,0,1
2011-07-11,34.39,34.39,34.13,34.33,2995,0,1
2011-07-12,34.20,34.70,34.07,34.36,2341,0,1
2011-07-13,34.60,34.99,34.57,34.79,2919,0,1
2011-07-14,34.70,34.90,34.09,34.31,3964,0,1
2011-07-15,34.33,34.41,34.07,34.29,3286,0,1
2011-07-18,34.18,34.58,34.08,34.39,2993,0,1
2011-07-19,34.56,34.74,34.25,34.47,2604,0,1
2011-07-20,34.63,34.71,34.31,34.47,3916,0,1
2011-07-21,34.46,34.90,34.35,34.57,3384,0,1
2011-07-22,34.53,34.81,34.49,34.68,4026,0,1
2011-07-25,34.54,34.84,34.46,34.65,3084,0,1
2011-07-26,34.69,34.90,34.37,34.62,2978,0,1
2011-07-27,34.50,34.68,34.26,34.35,4454,0,1
2011-07-28,34.48,34.75,34.39,34.67,4635,0,1
2011-07-29,34.26,34.36,33.76,34.01,9070,0,1
2011-08-01,34.23,34.41,33.74,34.02,4592,0,1
2011-08-02,33.96,34.15,33.30,33.31,3544,0,1
2011-08-03,33.12,33.28,31.48,32.44,6207,0,1
2011-08-04,31.51,31.63,30.34,30.57,8555,0,1
2011-08-05,30.63,31.12,28.93,29.82,8377,0,1
2011-08-08,28.26,28.56,26.80,26.98,8566,0,1
2011-08-09,27.60,28.61,27.29,28.36,9314,0,1
2011-08-10,28.19,28.74,27.79,28.39,5815,0,1
2011-08-11,28.80,29.76,28.44,29.62,5550,0,1
2011-08-12,29.81,29.97,29.27,29.50,4951,0,1
2011-08-15,29.85,30.23,29.72,30.04,3739,0,1
2011-08-16,29.70,29.94,29.40,29.83,4973,0,1
2011-08-17,29.79,30.36,29.74,30.34,5192,0,1
2011-08-18,28.61,28.96,28.28,28.82,6494,0,1
2011-08-19,28.40,29.07,28.20,28.40,7407,0,1
2011-08-22,28.81,28.97,28.31,28.36,4023,0,1
2011-08-23,28.40,29.30,28.26,29.30,5473,0,1
2011-08-24,29.27,29.54,28.89,29.49,3621,0,1
2011-08-25,29.48,29.57,28.88,29.16,5012,0,1
2011-08-26,28.95,29.85,28.53,29.65,3930,0,1
2011-08-29,29.95,30.44,29.94,30.41,7141,0,1
2011-08-30,30.13,30.67,30.10,30.48,3673,0,1
2011-08-31,30.72,31.07,30.48,31.03,5086,0,1
2011-09-01,31.17,31.40,30.89,31.22,6437,0,1
2011-09-02,31.03,31.03,30.42,30.76,3528,0,1
2011-09-05,30.17,30.40,29.90,30.06,1319,0,1
2011-09-06,29.74,31.01,29.58,30.91,4851,0,1
2011-09-08,31.43,31.84,31.31,31.59,4389,0,1
2011-09-09,31.32,31.44,30.76,31.10,3799,0,1
2011-09-12,30.55,31.34,30.37,31.28,2930,0,1
2011-09-13,31.39,31.73,31.18,31.52,2857,0,1
2011-09-14,31.72,32.18,31.16,31.90,3910,0,1
2011-09-15,31.98,32.51,31.95,32.25,3918,0,1
