date,open,high,low,close,volume,dividend,split
2010-09-29,19.18,19.22,19.01,19.21,115,0,1
2010-09-30,19.33,19.50,19.06,19.38,301,0,1
2010-10-01,19.57,19.57,18.84,19.33,180,0,1
2010-10-04,19.35,19.60,19.24,19.31,110,0,1
2010-10-05,19.37,19.72,19.34,19.66,172,0,1
2010-10-06,19.50,19.88,19.50,19.69,131,0,1
2010-10-07,19.72,19.86,19.57,19.86,78,0,1
2010-10-08,19.71,20.16,19.71,19.96,163,0,1
2010-10-11,20.09,20.16,19.91,20.15,89,0,1
2010-10-13,20.14,20.19,19.91,20.19,88,0,1
2010-10-14,20.20,20.33,19.69,19.96,111,0,1
2010-10-15,20.09,20.12,19.62,19.86,57,0,1
2010-10-18,19.86,19.86,19.67,19.82,92,0,1
2010-10-19,19.67,19.67,19.25,19.37,89,0,1
2010-10-20,19.26,19.88,19.23,19.69,130,0,1
2010-10-21,19.59,19.84,19.31,19.31,150,0,1
2010-10-22,19.43,19.43,19.14,19.33,104,0,1
2010-10-25,19.19,19.62,19.14,19.23,119,0,1
2010-10-26,19.38,19.72,19.28,19.61,98,0,1
2010-10-27,19.71,20.12,19.49,19.88,159,0,1
2010-10-28,20.09,20.09,19.50,19.67,88,0,1
2010-10-29,19.70,19.87,19.38,19.48,146,0,1
2010-11-01,19.48,20.25,19.43,19.75,75,0,1
2010-11-03,19.75,20.06,19.58,19.70,159,0,1
2010-11-04,20.05,20.27,19.81,20.00,103,0,1
2010-11-05,20.19,20.19,19.62,19.62,111,0,1
2010-11-08,19.85,20.12,19.67,19.76,104,0,1
2010-11-09,20.10,20.10,19.68,19.68,52,0,1
2010-11-10,19.69,20.09,19.52,20.09,94,0,1
2010-11-11,20.04,20.08,19.58,19.58,93,0,1
2010-11-12,19.72,20.01,19.60,19.64,131,0,1
2010-11-16,19.72,19.90,19.43,19.81,137,0,1
2010-11-17,19.67,19.97,19.20,19.91,122,0,1
2010-11-18,19.86,19.96,19.69,19.95,65,0,1
2010-11-19,19.88,19.95,19.64,19.72,74,0,1
2010-11-22,19.62,19.85,19.21,19.49,70,0,1
2010-11-23,19.47,19.72,18.95,19.04,55,0,1
2010-11-24,19.01,19.53,19.01,19.53,158,0,1
2010-11-25,19.52,19.95,19.25,19.86,56,0,1
2010-11-26,19.81,19.86,19.46,19.52,96,0,1
2010-11-29,19.48,19.63,19.26,19.52,218,0,1
2010-11-30,19.33,19.61,19.26,19.29,121,0,1
2010-12-01,19.65,19.72,19.34,19.58,105,0,1
2010-12-02,19.58,19.72,19.39,19.72,111,0,1
2010-12-03,19.79,19.80,19.44,19.44,48,0,1
2010-12-06,19.57,19.57,19.07,19.07,71,0,1
2010-12-07,19.33,19.41,19.00,19.00,57,0,1
2010-12-08,19.00,19.19,18.84,19.05,50,0,1
2010-12-09,18.92,19.14,18.68,18.95,64,0,1
2010-12-10,18.86,19.17,18.77,18.98,62,0,1
2010-12-13,19.13,19.43,18.84,19.33,53,0,1
2010-12-14,19.17,19.28,19.00,19.00,50,0,1
2010-12-15,19.04,19.28,19.04,19.19,69,0,1
2010-12-16,19.25,19.28,18.97,18.99,49,0,1
2010-12-17,18.95,19.12,18.80,18.87,133,0,1
2010-12-20,18.87,19.03,18.52,18.56,103,0,1
2010-12-21,18.80,19.09,18.68,18.99,45,0,1
2010-12-22,19.14,19.19,18.75,19.19,34,0,1
2010-12-23,19.24,19.38,19.06,19.34,77,0,1
2010-12-27,19.10,19.63,19.10,19.50,100,0,1
2010-12-28,19.47,20.00,19.38,20.00,255,0,1
2010-12-29,19.99,20.00,19.68,19.86,33,0,1
2010-12-30,20.00,20.21,19.44,20.21,154,0,1
2011-01-03,20.23,20.30,19.71,19.77,119,0,1
2011-01-04,19.72,20.00,19.54,19.87,67,0,1
2011-01-05,19.68,20.05,19.53,20.05,82,0,1
2011-01-06,19.88,20.11,19.78,20.11,105,0,1
2011-01-07,19.99,20.16,19.92,20.16,129,0,1
2011-01-10,19.99,20.30,19.97,20.30,108,0,1
2011-01-11,20.25,20.43,20.25,20.36,114,0,1
2011-01-12,20.42,20.69,20.40,20.60,186,0,1
2011-01-13,20.62,20.79,20.55,20.69,165,0,1
